case_id,geometry,particle_count,coordinates_xyz,ka,f0,f1,minimum_distance_over_radius,lmax,full_modes_per_particle,active_modes_per_particle,system_residual,condition_number,scattered_condition_number,balanced_condition_number,balanced_backward_error,effective_incident_closure_error,scattering_closure_error,production_solver,decomposition_residual,used_planar_symmetry,total_rms,total_successive_change,total_absolute_change,total_change_applicable,total_minimum_confirmed_lmax,interaction_rms,interaction_successive_change,interaction_absolute_change,interaction_change_applicable,interaction_minimum_confirmed_lmax,external_scattered_rms,external_scattered_successive_change,external_scattered_absolute_change,external_scattered_change_applicable,external_scattered_minimum_confirmed_lmax,scattered_scattered_rms,scattered_scattered_successive_change,scattered_scattered_absolute_change,scattered_scattered_change_applicable,scattered_scattered_minimum_confirmed_lmax
dimer_diagonal,dimer,2,-1.4142135623730951:-1.4142135623730949:-0;1.4142135623730951:1.4142135623730949:0,0.050000000000000003,0,0.40000000000000002,4,4,25,10,2.2203724914498718e-14,51017.054254981333,51017.054254979063,1.0082531764110885,2.185119799822633e-17,8.9989277851853949e-19,7.5294192209387756e-17,balanced_sqrt,0,true,0.011957627260342196,0.00022377229604266606,2.6757857072691479e-06,true,7,0.011957627260342196,0.00022377229604266606,2.6757857072691479e-06,true,7,0.011905834651257363,5.723020679392246e-05,6.8137337914570655e-07,true,6,5.1792609084833427e-05,0.038507662837670861,1.9944123281220542e-06,true,9
dimer_diagonal,dimer,2,-1.4142135623730951:-1.4142135623730949:-0;1.4142135623730951:1.4142135623730949:0,0.050000000000000003,0,0.40000000000000002,4,5,36,15,1.2621228088547741e-12,189221927.41622517,189221927.4163315,1.0082571576574926,2.8196323875526823e-17,1.6077713654888863e-21,9.0213910069391683e-17,balanced_sqrt,0,true,0.011957917459711314,2.4268387041054437e-05,2.9019936911725666e-07,true,7,0.011957917459711314,2.4268387041054437e-05,2.9019936911725666e-07,true,7,0.011905863919058571,2.4582677416867709e-06,2.9267801209134123e-08,true,6,5.2053540652742605e-05,0.0050127534964410966,2.6093156790917426e-07,true,9
dimer_diagonal,dimer,2,-1.4142135623730951:-1.4142135623730949:-0;1.4142135623730951:1.4142135623730949:0,0.050000000000000003,0,0.40000000000000002,4,6,49,21,9.2356715185117078e-11,946708140619.39136,946708140249.7196,1.0082575773675551,3.326828641812398e-17,2.1073284580398981e-22,1.1849335099361426e-16,balanced_sqrt,0,true,0.011957949818727354,2.7060672214793823e-06,3.2359016040553414e-08,true,7,0.011957949818727354,2.7060672214793823e-06,3.2359016040553414e-08,true,7,0.011905866903754279,2.5069117029239539e-07,2.9846957074476581e-09,true,6,5.2082914973074147e-05,0.00056399148063678191,2.9374320331543709e-08,true,9
dimer_diagonal,dimer,2,-1.4142135623730951:-1.4142135623730949:-0;1.4142135623730951:1.4142135623730949:0,0.050000000000000003,0,0.40000000000000002,4,7,64,28,4.7618935945505506e-09,6153267395396247,6153266220914097,1.0082576191393116,2.1526087944588898e-17,2.6079742898850797e-24,9.7013891694623182e-17,balanced_sqrt,0,true,0.011957953099425728,2.7435283851544209e-07,3.2806983756619769e-09,true,7,0.011957953099425728,2.7435283851544209e-07,3.2806983756619769e-09,true,7,0.01190586718744883,2.3828130034407155e-08,2.836945515149121e-10,true,6,5.208591197689856e-05,5.7539624644465078e-05,2.9970038244153912e-09,true,9
dimer_diagonal,dimer,2,-1.4142135623730951:-1.4142135623730949:-0;1.4142135623730951:1.4142135623730949:0,0.050000000000000003,0,0.40000000000000002,4,8,81,36,4.7860710031532483e-07,5.0447352540474712e+19,5.0442415692326797e+19,1.0082576231282074,2.1829086352369056e-17,3.1717442099483857e-27,8.4782315980544303e-17,balanced_sqrt,0,true,0.011957953410238243,2.599211608675143e-08,3.1081251319887757e-10,true,7,0.011957953410238243,2.599211608675143e-08,3.1081251319887757e-10,true,7,0.011905867213062605,2.151357362256431e-09,2.5613775082869688e-11,true,6,5.2086197175638307e-05,5.4755147277007394e-06,2.8519873974513219e-10,true,9
dimer_diagonal,dimer,2,-1.4142135623730951:-1.4142135623730949:-0;1.4142135623730951:1.4142135623730949:0,0.050000000000000003,0,0.40000000000000002,4,9,100,45,3.1796437474834474e-05,5.0777423528639819e+23,5.0936775874872836e+23,1.0082576234972889,1.9743690186602902e-17,2.8562960359514459e-28,8.3432971443581118e-17,balanced_sqrt,0,true,0.011957953438222693,2.3402375412846586e-09,2.7984451553062703e-11,true,7,0.011957953438222693,2.3402375412846586e-09,2.7984451553062703e-11,true,7,0.01190586721528354,1.8654117181419783e-10,2.2209344218032317e-12,true,6,5.2086222939154255e-05,4.9463206375033106e-07,2.5763515945353703e-11,true,9
dimer_rigid,dimer,2,-1.5:-0:-0;1.5:0:0,0.10000000000000001,0,1,3,2,9,3,8.9798593182321191e-17,1.5636914715231245,1.5636914715231245,1.0582902169562811,2.5066077288803447e-17,1.6015305874600552e-17,1.4282831589951112e-16,balanced_sqrt,0,true,0.24676471543908221,0,0,false,9,0.24676471543908221,0,0,false,9,0.24196932264504831,0,0,false,8,0.0047953927940338741,0,0,false,0
dimer_rigid,dimer,2,-1.5:-0:-0;1.5:0:0,0.10000000000000001,0,1,3,3,16,6,1.1888956075245991e-15,142.72147375518446,142.72147375518438,1.064969345296368,2.368676715891164e-17,2.2571749911849606e-18,1.3344303966367253e-16,balanced_sqrt,0,true,0.25072359214499729,0.01578980530729478,0.0039588767059150903,true,9,0.25072359214499729,0.01578980530729478,0.0039588767059150903,true,9,0.24310588732668903,0.0046751836993292458,0.0011365646816407088,true,8,0.0076177048183082704,0.37049374996669554,0.0028223120242743963,true,0
dimer_rigid,dimer,2,-1.5:-0:-0;1.5:0:0,0.10000000000000001,0,1,3,4,25,10,3.0484142584944715e-14,164424.07855329249,164424.07855328621,1.0669103529060533,1.5778017496002192e-17,5.4364542365542489e-20,4.6696959114970884e-17,balanced_sqrt,0,true,0.25188585316072493,0.0046142369694181125,0.0011622610157276392,true,9,0.25188585316072493,0.0046142369694181125,0.0011622610157276392,true,9,0.24337804775317037,0.0011182620166193622,0.00027216042648134375,true,8,0.0085078054075545424,0.10462164407943597,0.00089010058924627201,true,0
dimer_rigid,dimer,2,-1.5:-0:-0;1.5:0:0,0.10000000000000001,0,1,3,5,36,15,1.1113410237106952e-12,272579411.98996329,272579411.99140739,1.067399738428332,1.3327187297190709e-17,1.0338525803838389e-21,6.2097680012032261e-17,balanced_sqrt,0,true,0.25214124294574664,0.0010128838187597156,0.00025538978502170906,true,9,0.25214124294574664,0.0010128838187597156,0.00025538978502170906,true,9,0.24341981772068658,0.00017159641276263003,4.1769967516203099e-05,true,8,0.0087214252250600588,0.024493682166958589,0.00021361981750551637,true,0
