case_id,particle_index,x,y,z,a_x,a_y,b_l_x,b_l_y,d_x,d_y,collective_x,collective_y
n10_compact_f0.8_d2.5,8,1.2500000000000004,2.1650635094610968,0,-0.50398197715823356,-0.3628039834581393,-0.53526419678418691,-0.38127670587508072,-0.61336095172655991,-0.45697882747999624,-0.078096754942373003,-0.075702121604915518
n10_compact_f0.8_d2.5,9,0,4.3301270189221945,0,0,-0.63158785485912206,-1.1102230246251565e-16,-0.66788845314578194,-4.3687592611450876e-16,-0.74249322538116713,-3.258536236519931e-16,-0.074604772235385197
n10_compact_f0.8_d3.0,0,-4.5000000000000009,-2.598076211353316,0,0.26570172568735306,0.15340296284974134,0.27228501257668236,0.15720382530744825,0.28916200832977174,0.16694776334860639,0.016876995753089374,0.00974393804115814
n10_compact_f0.8_d3.0,1,-1.5,-2.598076211353316,0,0.030532337924188236,0.29985768057107726,0.030629714012943132,0.30746518196594042,0.038148070414803024,0.33327979838303839,0.0075183564018598929,0.02581461641709798
n10_compact_f0.8_d3.0,2,1.5000000000000007,-2.598076211353316,0,-0.030532337924188187,0.29985768057107703,-0.030629714012943076,0.30746518196594042,-0.038148070414803045,0.33327979838303839,-0.0075183564018599693,0.02581461641709798
n10_compact_f0.8_d3.0,3,4.5000000000000009,-2.598076211353316,0,-0.26570172568735317,0.15340296284974145,-0.27228501257668242,0.15720382530744828,-0.28916200832977168,0.16694776334860645,-0.016876995753089263,0.0097439380411581678
n10_compact_f0.8_d3.0,4,-3,0,0,0.27495053785652657,-0.12348706000626046,0.281587515368181,-0.12720648053710917,0.30770280717526849,-0.13360270110694231,0.026115291807087493,-0.0063962205698331331
n10_compact_f0.8_d3.0,5,0,0,0,-1.3877787807814457e-16,-2.4286128663675299e-17,-4.163336342344337e-17,2.0816681711721685e-17,-2.4605426546422812e-16,-1.6382847229294077e-16,-2.0442090204078475e-16,-1.8464515400466246e-16
n10_compact_f0.8_d3.0,6,3.0000000000000009,0,0,-0.27495053785652634,-0.12348706000626052,-0.28158751536818094,-0.12720648053710928,-0.30770280717526877,-0.13360270110694239,-0.026115291807087826,-0.0063962205698331054
n10_compact_f0.8_d3.0,7,-1.5,2.598076211353316,0,0.24441819993233813,-0.17637062056481675,0.25095780135523776,-0.18025870142883119,0.26955473676046526,-0.19967709727609625,0.018596935405227499,-0.019418395847265069
n10_compact_f0.8_d3.0,8,1.5000000000000007,2.598076211353316,0,-0.2444181999323381,-0.17637062056481662,-0.25095780135523776,-0.1802587014288313,-0.26955473676046571,-0.19967709727609637,-0.018596935405227943,-0.019418395847265069
n10_compact_f0.8_d3.0,9,0,5.1961524227066329,0,-1.3877787807814457e-17,-0.30680592569948267,-2.7755575615628914e-17,-0.31440765061489628,-3.4490204693250692e-17,-0.33389552669721273,-6.7346290776217784e-18,-0.019487876082316447
n10_compact_f0.8_d4.0,0,-6.0000000000000009,-3.4641016151377548,0,0.085690015624815319,0.049473153587850385,0.086390222519082377,0.049877418226743908,0.088689745159298561,0.051205048242080352,0.0022995226402161839,0.0013276300153364437
n10_compact_f0.8_d4.0,1,-2,-3.4641016151377548,0,0.010117526521125594,0.096457041729846593,0.010131236569508411,0.09726606641300474,0.011237603320960214,0.10054483864816662,0.0011063667514518028,0.0032787722351618753
n10_compact_f0.8_d4.0,2,2.0000000000000009,-3.4641016151377548,0,-0.010117526521125554,0.096457041729846593,-0.010131236569508366,0.09726606641300474,-0.011237603320960181,0.10054483864816664,-0.001106366751451815,0.0032787722351619031
n10_compact_f0.8_d4.0,3,6.0000000000000009,-3.4641016151377548,0,-0.08569001562481536,0.049473153587850392,-0.086390222519082419,0.049877418226743908,-0.08868974515929863,0.051205048242080352,-0.0022995226402162117,0.0013276300153364437
n10_compact_f0.8_d4.0,4,-4,0,0,0.088593011772505614,-0.039466485874165735,0.089300502724600633,-0.039859124965558178,0.092693186149199761,-0.040540369370479432,0.0033926834245991272,-0.00068124440492125377
n10_compact_f0.8_d4.0,5,0,0,0,-2.4286128663675299e-17,-6.9388939039072284e-18,-3.8163916471489756e-17,-1.214306433183765e-17,-7.5807999142062276e-17,-2.2993469795500459e-17,-3.764408267057252e-17,-1.085040546366281e-17
n10_compact_f0.8_d4.0,6,4.0000000000000009,0,0,-0.088593011772505573,-0.039466485874165728,-0.089300502724600578,-0.039859124965558178,-0.092693186149199858,-0.040540369370479418,-0.0033926834245992799,-0.00068124440492123989
n10_compact_f0.8_d4.0,7,-2,3.4641016151377548,0,0.078475485251379956,-0.056990555855680899,0.079169266155092136,-0.057406941447446617,0.081455582828239503,-0.060004469277687267,0.0022863166731473678,-0.0025975278302406493
