case_id,split,particle_count,family,radius,k,ka,energy_density,f0,f1,distance_ratio,pair_count,reference_lmax,maximum_allowed_lmax,total_converged,matched_pairwise_converged,collective_residual_converged,joint_converged,collective_residual_resolved,metric_applicable,eta,lambda_max,rho_l1,rms_a,rms_matched_pairwise,rms_d,epsilon_a,epsilon_b,y_two_body,y_collective,y_multipolar,delta_d_penultimate,delta_d_last,delta_b_penultimate,delta_b_last,delta_r_penultimate,delta_r_last,collective_uncertainty,identity_max_abs_error,maximum_physical_residual,maximum_balanced_condition,maximum_raw_condition
n4_irregular_f1.0_d2.1,calibration,4,irregular,1,0.10000000000000001,0.10000000000000001,1,0,1,2.1000000000000001,6,13,13,true,true,true,true,true,true,0.10797969981643449,0.21559013682601696,0.096526293793164838,1.1134616854747075,1.2920284106817268,1.4015316651225649,0.21020011247338755,0.080115626453942504,0.13911230246235237,0.080115626453942504,0.12681976266062653,0.00028320765843770443,6.332050458391218e-05,0.00026705698951269568,5.9780943946569957e-05,1.7052775246944919e-05,3.7265747872905392e-06,1.7052775246944919e-05,0,6.201033336976187e-16,1.8606291045582284,4.6949240650952069e+42
n4_irregular_f1.0_d2.5,calibration,4,irregular,1,0.10000000000000001,0.10000000000000001,1,0,1,2.5,6,9,13,true,true,true,true,true,true,0.064000000000000015,0.12778113645732758,0.057895163166252962,0.55670728386273616,0.58857133560440955,0.61481688303882209,0.095288294817562305,0.043453416127769352,0.055029655489167849,0.043453416127769352,0.039377673893412381,0.00031063305927725242,1.9323687863030164e-05,0.00030046607137097396,1.8666490608561657e-05,1.3115315620779262e-05,7.4396983510861635e-07,1.3115315620779262e-05,0,4.8936764307159918e-16,1.1858366873872483,4.0289498368025117e+25
n4_irregular_f1.0_d3.0,calibration,4,irregular,1,0.10000000000000001,0.10000000000000001,1,0,1,3,6,7,13,true,true,true,true,true,true,0.037037037037037028,0.073947416931323826,0.034085780452015012,0.27019208369016562,0.27701358296953671,0.28368112057313205,0.047747915929025608,0.023847488867892355,0.025203617670168661,0.023847488867892355,0.013744009322824151,0.00065726974427440105,2.3275116983944402e-05,0.00064008491092017704,2.2895770186919785e-05,4.7949513314883286e-05,8.1042672577235097e-07,4.7949513314883286e-05,0,5.5904068844167301e-16,1.0803353204157415,1879599428189888.5
n4_irregular_f1.0_d4.0,calibration,4,irregular,1,0.10000000000000001,0.10000000000000001,1,0,1,4,6,7,13,true,true,true,true,true,true,0.015625,0.03119656651790224,0.014983986327046719,0.086918877311681977,0.08766335130554162,0.08852132502005898,0.018145640768391504,0.0098131981808244582,0.008717287622099933,0.0098131981808244582,0.0029728948069915411,4.3965189830608511e-05,4.8580051629642441e-07,4.3282331720070009e-05,4.8414364709456063e-07,3.4536004895238512e-06,1.6824741916225911e-08,3.4536004895238512e-06,0,5.9376364731477619e-16,1.0290714014127915,10120411174978.449
n4_irregular_f1.0_d6.0,calibration,4,irregular,1,0.10000000000000001,0.10000000000000001,1,0,1,6,6,5,13,true,true,true,true,true,true,0.0046296296296296285,0.0092434271164154782,0.0049100354219197935,0.018038702624521393,0.018080888397585038,0.018136083594261544,0.0053802373171374061,0.0030773732846445028,0.00239138675101187,0.0030773732846445028,0.00040733860039543973,0.00040639939871888142,1.0453744453885793e-06,0.0003143916065671244,1.0340810380020371e-06,0.00011942207241800516,8.7089160408751304e-08,0.00011942207241800516,0,4.3087741891694854e-16,1.0085683169500559,18373.5763638141
n4_irregular_f1.0_d10.0,calibration,4,irregular,1,0.10000000000000001,0.10000000000000001,1,0,1,10,6,5,13,true,true,true,true,true,true,0.0010000000000000002,0.0019965802571457435,0.0013256373132056454,0.0027574861174723807,0.0027589836187779451,0.0027610949265297422,0.0013098709848967721,0.00077299961449361703,0.00055610411198262746,0.00077299961449361703,4.5611724185693991e-05,4.5603308005832275e-05,9.4089922468275159e-09,3.7006878369043737e-05,9.3184591717763695e-09,1.0652388700818261e-05,8.1216889259048485e-10,1.0652388700818261e-05,0,4.5023924809911445e-16,1.0021383004133331,17.531433122366703
n6_linear_f0.1_d2.1,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.10000000000000001,2.1000000000000001,15,9,11,true,true,true,true,true,true,0.01079796998164345,0.024695357272832699,0.011194361890108773,0.0061254345827752186,0.006231285599786889,0.0062545863124310501,0.020698650448321969,0.0045817501661172657,0.016967137615873516,0.0045817501661172657,0.0092028344070713333,0.0002395129112440234,2.8005336545740844e-05,0.00033772031076742082,3.9558561105179114e-05,0.00022282432932775752,2.7063947060540134e-05,0.00022282432932775752,0,7.2290950427319714e-16,1.0513697922178002,4.6551890819444398e+24
n6_linear_f0.1_d2.5,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.10000000000000001,2.5,15,7,11,true,true,true,true,true,true,0.006400000000000002,0.014637037037037042,0.0067136843445549229,0.0030634548524469223,0.0030853469316301767,0.003093621249946615,0.0098612138760506129,0.0033292709590927896,0.0070945750965483645,0.0033292709590927896,0.0029318313420991734,0.00030143874721612725,2.2151647072892028e-05,0.00042243709969595663,3.0636001392446863e-05,0.00033504452674326478,2.6228595586445221e-05,0.00033504452674326478,0,8.8594452563462186e-16,1.0170286566456996,1470286357576779.8
n6_linear_f0.1_d3.0,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.10000000000000001,3,15,7,11,true,true,true,true,true,true,0.003703703703703703,0.008470507544581618,0.0039509831111570011,0.0014875427818554796,0.0014924380135968832,0.0014951791487299688,0.0052346565190005889,0.0022975038455209872,0.0032824123121929349,0.0022975038455209872,0.0010690848217313584,5.6871824480435047e-05,2.034945293754914e-06,7.5579795896036619e-05,2.6469919657263695e-06,7.2638392367428998e-05,2.6682023326588643e-06,7.2638392367428998e-05,0,6.6223741754781124e-16,1.0083378526161568,54556453398671.273
n6_linear_f0.1_d4.0,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.10000000000000001,4,15,5,11,true,true,true,true,false,true,0.0015625000000000001,0.003573495370370371,0.001732512316638866,0.00047920038685906978,0.00047975532658198959,0.0004802127203731795,0.002203876520340512,0.0011991751514404763,0.0011587666346509558,0.0011991751514404763,0.00027399057783342824,0.00027017575051062819,4.3495972183230225e-06,0.00037909362973645688,5.2029146250327647e-06,0.000286023990024824,5.9896509838560735e-06,0.000286023990024824,0,3.0685924147032911e-16,1.0032956191765972,153475.78935924527
n6_linear_f0.1_d6.0,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.10000000000000001,6,15,5,11,true,true,true,true,true,true,0.00046296296296296287,0.0010588134430727023,0.0005597276674328272,9.96751450078263e-05,9.9707824450642914e-05,9.9742771506992035e-05,0.00072142164152672007,0.00044488952253481903,0.00032880131729629648,0.00044488952253481903,6.1767393991233647e-05,6.1703965372720106e-05,1.1531830887635592e-07,8.390951422139562e-05,1.2460667492406584e-07,4.252602933269289e-05,1.6232257474134294e-07,4.252602933269289e-05,0,2.6102217602641153e-16,1.0010120086889209,539.10764818091923
n6_linear_f0.1_d10.0,holdout,6,linear,1,0.10000000000000001,0.10000000000000001,1,0,0.10000000000000001,10,15,5,11,true,true,true,true,true,true,0.00010000000000000003,0.00022870370370370378,0.00014196479783495821,1.4699794155507038e-05,1.4700985216201949e-05,1.4702227219947167e-05,0.0001789048518461786,0.00011402608437282722,8.1468998894071814e-05,0.00011402608437282722,1.743446806338542e-05,1.7434259297817744e-05,1.1435408194631096e-09,1.988017150863555e-05,1.201780255611171e-09,3.6857213668065214e-06,1.6126738968485006e-09,3.6857213668065214e-06,0,2.7648279686313622e-16,1.0002482884249504,1.9369460326141181
