ka,kd,separation_ratio,f1,corrected_force,silva_bruus_force,relative_error_percent
0.1,0.2374,0.42122999157540025,0.1,-0.006023716028502585,-0.005990940589577837,0.5441066406461277
0.1,0.2376,0.4208754208754209,0.1,-0.006003435400077662,-0.005970890776889967,0.5420999980656712
0.1,0.2378,0.42052144659377627,0.1,-0.005983240751058507,-0.005950925014191924,0.5401042380062362
0.1,0.238,0.42016806722689076,0.1,-0.005963131639865079,-0.005931042878632674,0.5381192831277443
0.1,0.2382,0.4198152812762385,0.1,-0.005943107627605231,-0.005911243949841983,0.5361450567585929
0.1,0.2384,0.41946308724832215,0.1,-0.005923168278055524,-0.005891527809913798,0.5341814828889725
0.1,0.2386,0.4191114836546521,0.1,-0.005903313157642232,-0.005871894043389775,0.5322284861642945
0.1,0.2388,0.4187604690117253,0.1,-0.005883541835422428,-0.005852342237242876,0.5302859918784244
0.1,0.239,0.4184100418410042,0.1,-0.005863853883065293,-0.005832871980861125,0.5283539259674183
0.1,0.2392,0.4180602006688963,0.1,-0.005844248874833552,-0.005813482866031478,0.5264322150029873
0.1,0.2394,0.41771094402673353,0.1,-0.005824726387565075,-0.005794174486923839,0.5245207861859404
0.1,0.2396,0.41736227045075125,0.1,-0.005805286000654623,-0.0057749464400751295,0.522619567340388
0.1,0.2398,0.41701417848206834,0.1,-0.005785927296035754,-0.005755798324373563,0.5207284869070805
0.1,0.24,0.4166666666666667,0.1,-0.0057666498581628685,-0.005736729741042971,0.5188474739374785
0.1,0.2402,0.41631973355537055,0.1,-0.005747453273993401,-0.005717740293627263,0.5169764580877309
0.1,0.2404,0.415973377703827,0.1,-0.005728337132970188,-0.0056988295879750375,0.5151153696125157
0.1,0.2406,0.4156275976724854,0.1,-0.005709301027003927,-0.005679997232224254,0.5132641393591203
0.1,0.24080000000000001,0.4152823920265781,0.1,-0.005690344550455852,-0.005661242836787063,0.511422698761849
0.1,0.241,0.4149377593360996,0.1,-0.00567146730012047,-0.005642566014334718,0.5095909798358091
0.1,0.2412,0.41459369817578773,0.1,-0.005652668875208499,-0.005623966379782616,0.5077689151714934
0.1,0.2414,0.41425020712510363,0.1,-0.0056339488773299445,-0.005605443550275464,0.5059564379290195
0.1,0.2416,0.4139072847682119,0.1,-0.005615306910477249,-0.005586997145172504,0.5041534818323699
0.1,0.24180000000000001,0.4135649296939619,0.1,-0.005596742581008688,-0.0055686267860329255,0.5023599811641772
0.1,0.242,0.4132231404958678,0.1,-0.005578255497631797,-0.005550332096601315,0.5005758707598829
0.1,0.2422,0.4128819157720892,0.1,-0.005559845271386978,-0.005532112702793238,0.4988010860025511
0.1,0.2424,0.41254125412541254,0.1,-0.005541511515631263,-0.005513968232680952,0.4970355628174433
0.1,0.2426,0.4122011541632316,0.1,-0.005523253846022167,-0.005495898316479192,0.4952792376666983
0.1,0.24280000000000002,0.41186161449752884,0.1,-0.0055050718805017,-0.005477902586531089,0.4935320475440269
0.1,0.243,0.41152263374485604,0.1,-0.00548696523928048,-0.00545998067729415,0.4917939299697165
0.1,0.2432,0.4111842105263158,0.1,-0.005468933544822001,-0.005442132225326391,0.4900648229852049
0.1,0.2434,0.4108463434675432,0.1,-0.00545097642182705,-0.005424356869272555,0.48834466514849356
0.1,0.2436,0.41050903119868637,0.1,-0.005433093497218164,-0.005406654249850411,0.48663339552854845
0.1,0.24380000000000002,0.4101722723543888,0.1,-0.0054152844001243115,-0.005389024009837182,0.4849309537007207
0.1,0.244,0.4098360655737705,0.1,-0.005397548761865641,-0.0053714657940560654,0.4832372797417814
0.1,0.2442,0.40950040950040956,0.1,-0.005379886215938352,-0.005353979249362832,0.4815523142249489
0.1,0.2444,0.40916530278232405,0.1,-0.005362296397999707,-0.005336564024632548,0.47987599821520177
0.1,0.24459999999999998,0.40883074407195424,0.1,-0.005344778945853179,-0.005319219770746407,0.47820827326456455
0.1,0.24480000000000002,0.4084967320261438,0.1,-0.005327333499433657,-0.0053019461405786035,0.47654908140727803
0.1,0.245,0.4081632653061225,0.1,-0.0053099597007928425,-0.005284742788983375,0.4748983651552369
0.1,0.2452,0.4078303425774878,0.1,-0.005292657194084696,-0.00526760937278206,0.47325606749348775
0.1,0.2454,0.4074979625101875,0.1,-0.005275425625551063,-0.005250545550750334,0.47162213187546814
0.1,0.24559999999999998,0.4071661237785017,0.1,-0.005258264643507364,-0.005233550983605475,0.46999650221873795
0.1,0.2458,0.40683482506102525,0.1,-0.005241173898328416,-0.005216625333993742,0.46837912290036904
0.1,0.246,0.4065040650406504,0.1,-0.005224153042434387,-0.00519976826647787,0.46676993875268424
0.1,0.2462,0.4061738424045492,0.1,-0.005207201730276826,-0.005182979447524611,0.4651688950588654
0.1,0.2464,0.40584415584415584,0.1,-0.00519031961832481,-0.005166258545492399,0.46357593754847515
0.1,0.24659999999999999,0.40551500405515006,0.1,-0.005173506365051251,-0.005149605230619105,0.46199101239356416
0.1,0.2468,0.4051863857374392,0.1,-0.0051567616309192215,-0.00513301917500985,0.4604140662041616
0.1,0.247,0.40485829959514175,0.1,-0.005140085078368488,-0.0051165000526249595,0.4588450460243068
0.1,0.2472,0.4045307443365696,0.1,-0.005123476371802044,-0.005100047539267937,0.45728389932765484
0.1,0.2474,0.40420371867421184,0.1,-0.005106935177572861,-0.005083661312573597,0.4557305740137697
0.1,0.2476,0.4038772213247174,0.1,-0.005090461163970652,-0.005067341051996229,0.45418501840389813
0.1,0.2478,0.4035512510088782,0.1,-0.005074054001208778,-0.005051086438797868,0.45264718123690617
0.1,0.248,0.40322580645161293,0.1,-0.005057713361411273,-0.005034897156036668,0.4511170116654879
0.1,0.2482,0.4029008863819501,0.1,-0.005041438918599936,-0.005018772888555325,0.44959445925223435
0.1,0.2484,0.4025764895330113,0.1,-0.0050252303486815345,-0.005002713322969597,0.4480794739657106
0.1,0.2486,0.4022526146419952,0.1,-0.0050090873294351326,-0.004986718147656929,0.4465720061767524
0.1,0.2488,0.40192926045016075,0.1,-0.004993009540499475,-0.004970787052745123,0.4450720066544943
0.1,0.249,0.4016064257028113,0.1,-0.00497699666336051,-0.004954919730101127,0.44357942656277877
0.1,0.2492,0.4012841091492777,0.1,-0.004961048381338981,-0.004939115873319856,0.4420942174566341
0.1,0.2494,0.400962309542903,0.1,-0.0049451643795781364,-0.004923375177713166,0.4406163312781366
0.1,0.2496,0.4006410256410257,0.1,-0.004929344345031504,-0.004907697340298827,0.43914572035316424
0.1,0.2498,0.40032025620496403,0.1,-0.004913587966450801,-0.0048920820597896306,0.43768233738785844
0.1,0.25,0.4,0.1,-0.004897894934373911,-0.004876529036582565,0.4362261354647969
0.1,0.2502,0.39968025579536376,0.1,-0.004882264941112954,-0.004861037972748054,0.43477706803966976
0.1,0.2504,0.3993610223642173,0.1,-0.00486669768074245,-0.004845608572019267,0.4333350889378698
0.1,0.2506,0.3990422984836393,0.1,-0.0048511928490875995,-0.004830240539781553,0.4319001523509215
0.1,0.2508,0.39872408293460926,0.1,-0.004835750143712594,-0.004814933583061878,0.4304722128330262
0.1,0.251,0.39840637450199207,0.1,-0.004820369263909105,-0.004799687410518413,0.42905122529804024
0.1,0.2512,0.39808917197452237,0.1,-0.00480504991068477,-0.004784501732430134,0.4276371450157942
0.1,0.2514,0.3977724741447892,0.1,-0.004789791786751821,-0.004769376260686533,0.4262299276088698
0.1,0.2516,0.39745627980922105,0.1,-0.004774594596515802,-0.004754310708777396,0.4248295290496162
0.1,0.2518,0.3971405877680699,0.1,-0.00475945804606433,-0.004739304791782639,0.4234359056564339
0.1,0.252,0.3968253968253968,0.1,-0.004744381843156008,-0.004724358226362246,0.4220490140912032
0.1,0.2522,0.39651070578905634,0.1,-0.004729365697209356,-0.004709470730746243,0.42066881135566164
0.1,0.2524,0.39619651347068147,0.1,-0.004714409319291851,-0.004694642024724759,0.4192952547883737
0.1,0.2526,0.39588281868566905,0.1,-0.004699512422109082,-0.00467987182963818,0.4179283020617744
0.1,0.2528,0.39556962025316456,0.1,-0.0046846747199939445,-0.004665159868367333,0.4165679111790383
0.1,0.253,0.3952569169960475,0.1,-0.004669895928895935,-0.004650505865323773,0.4152140404710631
0.1,0.2532,0.39494470774091633,0.1,-0.004655175766370518,-0.004635909546440111,0.41386664859335387
0.1,0.2534,0.3946329913180742,0.1,-0.004640513951568593,-0.004621370639160432,0.41252569452334553
