case_id,particle_count,family,rho_band,f1,distance_ratio,rho_l1,coordinates_xyz,lmax,final_lmax,system_dimension,active_modes_per_particle,balanced_condition_number,balanced_backward_error,effective_incident_closure_error,scattering_closure_error,force_decomposition_residual,max_abs_fz,total_forces_xyz,external_forces_xyz,interaction_forces_xyz,external_scattered_forces_xyz,scattered_scattered_forces_xyz,production_solver,finite,campaign_complete,total_rms,total_successive_change,total_absolute_change,total_change_applicable,total_minimum_confirmed_lmax,total_confirmed,interaction_rms,interaction_successive_change,interaction_absolute_change,interaction_change_applicable,interaction_minimum_confirmed_lmax,interaction_confirmed,external_scattered_rms,external_scattered_successive_change,external_scattered_absolute_change,external_scattered_change_applicable,external_scattered_minimum_confirmed_lmax,external_scattered_confirmed,scattered_scattered_rms,scattered_scattered_successive_change,scattered_scattered_absolute_change,scattered_scattered_change_applicable,scattered_scattered_minimum_confirmed_lmax,scattered_scattered_confirmed,source
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,12,21,156,78,1.8481541817697988,2.7052578998162533e-17,3.4897626074239042e-37,1.5821528968101931e-16,0,0,1.5942629623643516:1.6591112850436656e-17:0;-1.5942629623643521:2.1497511821371329e-16:0,0:0:0;0:0:0,1.5942629623643516:1.6591112850436656e-17:0;-1.5942629623643521:2.1497511821371329e-16:0,1.2223655964136566:1.0977945326095648e-17:0;-1.2223655964136568:1.6160261956738114e-16:0,0.371897365950695:5.6131675243410073e-18:0;-0.37189736595069522:5.3372498646332157e-17:0,balanced_sqrt,true,true,1.5942629623643518,0.00053402577616338122,0.00085137751588515442,true,20,true,1.5942629623643518,0.00053402577616338122,0.00085137751588515442,true,20,true,1.2223655964136568,6.5120734176240039e-05,7.9601345070234863e-05,true,16,true,0.37189736595069511,0.0020752396802862965,0.00077177617081483629,true,0,false,t12
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,13,21,182,91,1.8567431010959285,1.8976648324263564e-17,1.6879702744498332e-39,8.371874406103596e-17,1.3663518535979884e-33,0,1.5947144158282125:2.2121377221408272e-17:0;-1.5947144158282127:2.1940303874815315e-16:0,0:0:0;0:0:0,1.5947144158282125:2.2121377221408272e-17:0;-1.5947144158282127:2.1940303874815315e-16:0,1.2224038067762444:1.4559823825338839e-17:0;-1.2224038067762444:1.6495521361727309e-16:0,0.37231060905196822:7.5615533960694341e-18:0;-0.37231060905196833:5.4447825130880054e-17:0,balanced_sqrt,true,true,1.5947144158282127,0.00028309361185921926,0.00045145346386077367,true,20,true,1.5947144158282127,0.00028309361185921926,0.00045145346386077367,true,20,true,1.2224038067762444,3.1258379903474332e-05,3.8210362587665081e-05,true,16,true,0.37231060905196828,0.0011099417830865044,0.0004132431012731641,true,0,false,t12
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,14,21,210,105,1.8626110574009953,1.7817232640224076e-17,2.2536266085336009e-42,1.6483817152750809e-16,1.0929169509753896e-32,0,1.5949544902431492:1.3595015577004996e-17:0;-1.5949544902431492:2.1374806207806478e-16:0,0:0:0;0:0:0,1.5949544902431492:1.3595015577004996e-17:0;-1.5949544902431492:2.1374806207806478e-16:0,1.2224223536254606:8.2672520111193098e-18:0;-1.2224223536254606:1.6064786197140526e-16:0,0.37253213661768858:5.327763565885687e-18:0;-0.37253213661768858:5.3100200106659532e-17:0,balanced_sqrt,true,true,1.5949544902431492,0.00015052116935321773,0.00024007441493656412,true,20,true,1.5949544902431492,0.00015052116935321773,0.00024007441493656412,true,20,true,1.2224223536254606,1.5172210456720854e-05,1.854684921620553e-05,true,16,true,0.37253213661768858,0.00059465357198873264,0.00022152756572030308,true,0,false,t12_1
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,15,21,240,120,1.8665551571422412,3.2592951266270726e-17,1.5202386900168239e-44,2.5792782312643551e-16,0,0,1.5950823921545514:2.6742635281171062e-17:0;-1.5950823921545507:2.1705672278307302e-16:0,0:0:0;0:0:0,1.5950823921545514:2.6742635281171062e-17:0;-1.5950823921545507:2.1705672278307302e-16:0,1.2224314428480016:1.7925317507929163e-17:0;-1.2224314428480012:1.630089599115999e-16:0,0.37265094930654979:8.8173177732418994e-18:0;-0.37265094930654957:5.4047762871473109e-17:0,balanced_sqrt,true,true,1.5950823921545509,8.0185144059625183e-05,0.00012790191140188423,true,20,true,1.5950823921545509,8.0185144059625183e-05,0.00012790191140188423,true,20,true,1.2224314428480014,7.4353638349328169e-06,9.0892225408367722e-06,true,16,true,0.37265094930654968,0.00031883103768337757,0.00011881268886110297,true,0,false,t12_1
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,16,21,272,136,1.8691653836601083,1.4701041106097175e-17,4.7882353501972272e-47,6.5547669895912072e-17,0,0,1.5951505994350368:2.5741776168068353e-17:0;-1.5951505994350368:2.1916052491163769e-16:0,0:0:0;0:0:0,1.5951505994350368:2.5741776168068353e-17:0;-1.5951505994350368:2.1916052491163769e-16:0,1.2224359329955532:1.7280900950442426e-17:0;-1.2224359329955532:1.6467256236526646e-16:0,0.37271466643948353:8.4608752176259261e-18:0;-0.37271466643948353:5.4487962546371243e-17:0,balanced_sqrt,true,true,1.5951505994350368,4.2759147951227863e-05,6.8207280485732547e-05,true,20,true,1.5951505994350368,4.2759147951227863e-05,6.8207280485732547e-05,true,20,true,1.2224359329955532,3.6731148280051191e-06,4.4901475517722389e-06,true,16,true,0.37271466643948353,0.00017095418740167777,6.3717132933849285e-05,true,0,false,t12_1
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,17,21,306,153,1.8708679119610032,2.4477856913586672e-17,7.2152380415960917e-49,1.7360120828319403e-16,9.842685990329379e-17,0,1.595186984758449:2.0869674858259165e-17:0;-1.5951869847584488:2.1843147558273519e-16:0,0:0:0;0:0:0,1.595186984758449:2.0869674858259165e-17:0;-1.5951869847584488:2.1843147558273519e-16:0,1.2224381657025982:1.3486520865856038e-17:0;-1.2224381657025982:1.6393576357724812e-16:0,0.37274881905585083:7.3831539924031264e-18:0;-0.37274881905585067:5.4495712005487072e-17:0,balanced_sqrt,true,true,1.595186984758449,2.2809440999552907e-05,3.6385323412102544e-05,true,20,true,1.595186984758449,2.2809440999552907e-05,3.6385323412102544e-05,true,20,true,1.2224381657025982,1.8264376126879909e-06,2.2327070450245401e-06,true,16,true,0.37274881905585072,9.1623674231143667e-05,3.4152616367216782e-05,true,0,false,t12_1
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,18,21,342,171,1.8719635244748982,2.4217418690417334e-17,3.5237027539428649e-51,8.6935321480192872e-17,9.8425662412646729e-17,0,1.595206392517033:2.4000219508287811e-17:0;-1.595206392517033:2.2305117836848994e-16:0,0:0:0;0:0:0,1.595206392517033:2.4000219508287811e-17:0;-1.595206392517033:2.2305117836848994e-16:0,1.2224392817688017:1.5299624942366611e-17:0;-1.2224392817688017:1.6773316781104104e-16:0,0.37276711074823132:8.7005945659212002e-18:0;-0.37276711074823143:5.5318010557448891e-17:0,balanced_sqrt,true,true,1.595206392517033,1.2166299404986887e-05,1.9407758584111257e-05,true,20,true,1.595206392517033,1.2166299404986887e-05,1.9407758584111257e-05,true,20,true,1.2224392817688017,9.1298293510328743e-07,1.1160662034548352e-06,true,16,true,0.37276711074823138,4.9070027513728162e-05,1.8291692380628666e-05,true,0,false,t12_1
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,19,21,380,190,1.8726599101000172,1.8771386050754857e-17,6.5586975332562863e-54,2.1647011664379658e-16,1.3659215969417182e-33,0,1.5952167407740925:2.6879257284088314e-17:0;-1.5952167407740931:2.1858407549902961e-16:0,0:0:0;0:0:0,1.5952167407740925:2.6879257284088314e-17:0;-1.5952167407740931:2.1858407549902961e-16:0,1.2224398420257958:1.8327331398341127e-17:0;-1.2224398420257963:1.6365449547870696e-16:0,0.37277689874829678:8.5519258857471885e-18:0;-0.37277689874829689:5.4929580020322636e-17:0,balanced_sqrt,true,true,1.5952167407740927,6.4870539502924586e-06,1.0348257059811239e-05,true,20,true,1.5952167407740927,6.4870539502924586e-06,1.0348257059811239e-05,true,20,true,1.222439842025796,4.5831048293107167e-07,5.6025699435302556e-07,true,16,true,0.37277689874829684,2.6256992046245821e-05,9.7880000654582133e-06,true,0,false,t12_1
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,20,21,420,210,1.8730975915238157,2.5125105252098968e-17,0,5.5710934221892589e-17,0,0,1.5952222558190035:2.1580542673022975e-17:0;-1.5952222558190035:2.2049910985548218e-16:0,0:0:0;0:0:0,1.5952222558190035:2.1580542673022975e-17:0;-1.5952222558190035:2.2049910985548218e-16:0,1.2224401242367531:1.4291138053488337e-17:0;-1.2224401242367531:1.6570368557731418e-16:0,0.37278213158225032:7.2894046195346378e-18:0;-0.37278213158225032:5.4795424278167998e-17:0,balanced_sqrt,true,true,1.5952222558190035,3.4572266594981604e-06,5.5150449106422528e-06,true,20,true,1.5952222558190035,3.4572266594981604e-06,5.5150449106422528e-06,true,20,true,1.2224401242367531,2.3085871565605393e-07,2.8221095704772381e-07,true,16,true,0.37278213158225032,1.4037244573051483e-05,5.2328339534835067e-06,true,0,false,t12_1
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,-1.05:0:0;1.05:0:0,21,21,462,231,1.8733698935724215,9.4923257374352724e-18,1.3375809704507091e-58,1.3174914375953637e-16,0,0,1.5952251935276383:2.0267380720033954e-17:0;-1.5952251935276387:2.1705183768545426e-16:0,0:0:0;0:0:0,1.5952251935276383:2.0267380720033954e-17:0;-1.5952251935276387:2.1705183768545426e-16:0,1.2224402667927545:1.2911123831724803e-17:0;-1.222440266792755:1.629827133690103e-16:0,0.37278492673488367:7.3562568883091512e-18:0;-0.37278492673488373:5.4069124316443964e-17:0,balanced_sqrt,true,true,1.5952251935276383,1.8415635904820536e-06,2.9377086350201864e-06,true,20,true,1.5952251935276383,1.8415635904820536e-06,2.9377086350201864e-06,true,20,true,1.2224402667927547,1.1661592434607722e-07,1.4255600166990234e-07,true,16,true,0.37278492673488367,7.4980301855549266e-06,2.7951526333780397e-06,true,0,false,t12_1
