geometry,ka,f0,f1,d_min_over_a,rms_a_vs_c,max_symmetric_a_vs_c,max_angle_a_vs_c_deg,rms_b_vs_c,max_symmetric_b_vs_c,max_angle_b_vs_c_deg,rms_up_to_three_vs_c,max_symmetric_up_to_three_vs_c,max_angle_up_to_three_vs_c_deg,rms_two_body_correction,rms_collective_correction,rms_three_body_sum,rms_four_body,relative_three_body_sum_amplitude,relative_four_body_amplitude,reconstruction_max_abs,closed_form_max_abs,quartet_residual_relative,quartet_condition_number,max_triplet_residual_relative,max_triplet_condition_number,sum_c_x,sum_c_y
linear_chain,0.1,0.0,0.1,3.7396226415094342,0.0023767878698584275,0.015491473710667903,0.0,0.0015526823204583913,0.01534314051571544,0.0,1.1410691606508878e-06,1.958015504973589e-06,0.0,7.205979158323208e-07,1.1781599491168066e-06,1.1775411122020483e-06,8.658319648119116e-10,0.0015518667629973587,1.141069160650888e-06,6.776263578034403e-20,2.168404344971009e-19,1.6220028276604009e-16,1.0062806093171077,1.0813352180206541e-16,1.0054503157000807,0.0,3.8155209964915086e-19
linear_chain,0.1,0.0,0.1,3.7893081761006293,0.002288500016155382,0.014886743113622493,0.0,0.0014950899254968053,0.01474354842088661,0.0,1.0579309739573578e-06,1.8158258044087701e-06,0.0,6.585130363386369e-07,1.0769703085698458e-06,1.0764255765366193e-06,7.620680388772292e-10,0.0014943337083861833,1.0579309739573578e-06,1.0842021724855044e-19,1.0842021724855044e-19,2.0939966454332706e-16,1.0060374488809858,2.417939053620956e-16,1.0052391538927483,0.0,3.6199207247173465e-19
linear_chain,0.1,0.0,0.1,3.838993710691824,0.002204658808027224,0.014312689638788787,0.0,0.0014404000197663876,0.014174385123979442,0.0,9.81886643777769e-07,1.6856468456167639e-06,0.0,6.025181839585242e-07,9.856902500696313e-07,9.852099047822538e-07,6.71921742685278e-10,0.0014396980859069583,9.818866437777687e-07,4.0657581468206416e-20,1.0842021724855044e-19,1.622002829674545e-16,1.005806775378871,1.7097411027442496e-16,1.0050388285897938,1.0842021724855044e-19,3.438135270344273e-19
linear_chain,0.1,0.0,0.1,3.888679245283019,0.002124985543615836,0.013767403084509657,0.0,0.0013884305946396287,0.01363375580531225,0.0,9.122464823130532e-07,1.5663239178650212e-06,0.0,5.51946215274938e-07,9.03235128663074e-07,9.028108331523413e-07,5.934564334764835e-10,0.0013877783781241556,9.122464823130532e-07,1.3552527156068805e-20,1.0842021724855044e-19,9.364637703389333e-17,1.0055877968431997,1.324359762423118e-16,1.0048486530003546,-3.2526065174565133e-19,3.270603199004072e-19
linear_chain,0.1,0.0,0.1,3.938364779874214,0.0020492222655024393,0.0132491136394682,0.0,0.001339013195338085,0.013119904897598497,0.0,8.483957240593717e-07,1.4568264256254362e-06,0.0,5.062104537828171e-07,8.286510744950343e-07,8.282756620027399e-07,5.250314416515407e-10,0.0013384065681383516,8.483957240593716e-07,2.710505431213761e-20,2.710505431213761e-20,9.364637694667833e-17,1.005379780921569,1.7097411011519292e-16,1.0046679919910928,1.0842021724855044e-19,3.1105267434041407e-19
linear_chain,0.1,0.0,0.1,3.9880503144654087,0.0019771299802614543,0.012756180048151503,0.0,0.0012919917569387679,0.012631204348721073,0.0,7.89785562930668e-07,1.3562330759909011e-06,0.0,4.6479412064245976e-07,7.610978164899388e-07,7.607651139006033e-07,4.652537945490135e-10,0.0012914269819602822,7.89785562930668e-07,3.1763735522036263e-21,1.3552527156068805e-19,4.0416252509080515e-21,1.0051820496963983,1.7097411013111612e-16,1.0044962576017114,-1.0842021724855044e-19,2.9605372973351643e-19
linear_chain,0.1,0.0,0.1,4.037735849056604,0.001908487050546893,0.01228707889677852,0.0,0.0012472215532590978,0.012166142995562854,0.0,7.359253555050295e-07,1.263719176143976e-06,0.0,4.2724126400953223e-07,6.998339418605324e-07,6.995386215772405e-07,4.129382956158769e-10,0.0012466952429440292,7.359253555050295e-07,1.3552527156068805e-20,1.0842021724855044e-19,6.621798811087752e-17,1.0049939750137544,1.0813352190277261e-16,1.0043329050007326,-1.0842021724855044e-19,2.8188805982700195e-19
linear_chain,0.1,0.0,0.1,4.087421383647799,0.001843087741140504,0.011840394902330933,0.0,0.0012045682464612239,0.011723316932665328,0.0,6.863758294997425e-07,1.1785454298698022e-06,0.0,3.9314895923691885e-07,6.442042211807712e-07,6.439416765779716e-07,3.6707443349862636e-10,0.0012040773262197632,6.863758294997427e-07,3.3881317890172014e-20,3.3881317890172014e-20,1.7519632890703204e-16,1.0048149742656352,1.8729275379160586e-16,1.004177428833421,0.0,2.68731090873583e-19
linear_chain,0.1,0.0,0.1,4.1371069182389935,0.001780740902565413,0.011414812101005811,0.0,0.0011639070266368536,0.011301420772643579,0.0,6.40743154448368e-07,1.1000482448876587e-06,0.0,3.6216058908698983e-07,5.936286887129601e-07,5.933949291852009e-07,3.267988850244017e-10,0.0011634487024990963,6.407431544483679e-07,6.776263578034403e-21,2.0328790734103208e-20,1.6220028281639372e-16,1.004644506576667,1.5292389309745036e-16,1.004029359919496,-1.0842021724855044e-19,2.5631968349419105e-19
linear_chain,0.1,0.0,0.1,4.186792452830189,0.0017212687778065947,0.011009105843913392,0.0,0.0011251218319160118,0.010899239707202768,0.0,5.986737601193727e-07,1.027631138881345e-06,0.0,3.339600436383795e-07,5.47593217366851e-07,5.473847796959722e-07,2.9137261508702955e-10,0.0011246935618668917,5.986737601193727e-07,3.3881317890172014e-20,1.0842021724855044e-19,1.6220028281639372e-16,1.0044820693520176,1.7097411017888574e-16,1.0038882622633383,1.0842021724855044e-19,2.4454419628088106e-19
linear_chain,0.1,0.0,0.1,4.2364779874213845,0.001664505919331244,0.010622135518152755,0.0,0.0010881046406990358,0.010515642287476394,0.0,5.598497982768358e-07,9.6075725625142e-07,0.0,3.082667049323308e-07,5.056413688901183e-07,5.054552422383691e-07,2.6016175998633135e-10,0.0010877041092433705,5.598497982768358e-07,4.743384504624082e-20,5.421010862427522e-20,9.364637729553829e-17,1.0043271951484232,1.7097411014703933e-16,1.0037537303437354,2.168404344971009e-19,2.3340462923365297e-19
linear_chain,0.1,0.0,0.1,4.286163522012579,0.0016102982050741341,0.010252837920534729,0.0,0.0010527548286166331,0.010149573851681266,0.0,5.239851639675788e-07,8.989428065751249e-07,0.0,2.8483110249331603e-07,4.6736733423896875e-07,4.6720089654180825e-07,2.3262163478850753e-10,0.0010523799241752801,5.239851639675789e-07,6.776263578034403e-21,2.0328790734103208e-20,9.364637694667833e-17,1.0041794488346198,1.7097411016296254e-16,1.0036253866540734,1.0842021724855044e-19,2.2279134094456167e-19
linear_chain,0.1,0.0,0.1,4.335849056603774,0.0015585019433238837,0.00990022121924363,0.0,0.0010189785836133684,0.009800050535726733,0.0,4.908219946293798e-07,8.417513218960667e-07,0.0,2.6343114348192907e-07,4.3240980768259974e-07,4.3226077160254485e-07,2.082833218647989e-10,0.0010186273784115818,4.908219946293798e-07,2.710505431213761e-20,2.710505431213761e-20,1.3243597640676596e-16,1.004038425011368,1.0813352180206541e-16,1.0035028794671792,0.0,2.1301132735585356e-19
linear_chain,0.1,0.0,0.1,4.385534591194968,0.0015089830575903,0.009563359445576014,0.0,0.0009866883733245415,0.009466153809631917,0.0,4.601275990165481e-07,7.887884505341482e-07,0.0,2.4386883595307664e-07,4.004466621477442e-07,4.003130290576088e-07,1.8674240638652658e-10,0.0009863591054624476,4.6012759901654817e-07,5.421010862427522e-20,1.1519648082658485e-19,1.1469292006787466e-16,1.0039037456646176,1.3243597630398212e-16,1.0033858808019638,-1.0842021724855044e-19,2.0373566424369313e-19
linear_chain,0.1,0.0,0.1,4.435220125786164,0.0014616163434795766,0.00924138746425535,0.0,0.0009558024595356302,0.009147025488551307,0.0,4.316917395119263e-07,7.396975554465891e-07,0.0,2.2596743601507623e-07,3.711903133458357e-07,3.710703340796808e-07,1.6764948704577742e-10,0.0009554935169970966,4.3169173951192636e-07,1.3552527156068805e-20,2.710505431213761e-20,9.364637738275326e-17,1.0037750580283502,1.081335218272422e-16,1.0032740845715682,-1.0842021724855044e-19,1.9487663848172432e-19
linear_chain,0.1,0.0,0.1,4.484905660377359,0.001416284790521575,0.008933496376259948,0.0,0.0009262444550965077,0.008841863172749305,0.0,4.053242455509353e-07,6.941556886545907e-07,0.0,2.0956896005660274e-07,3.443836770637092e-07,3.4427581837188286e-07,1.5070217513082004e-10,0.0009259543614541786,4.0532424555093535e-07,4.743384504624082e-20,2.168404344971009e-19,1.1469292028150688e-16,1.0036520326362013,1.7097411013111612e-16,1.0031672048949551,0.0,1.8660967632265942e-19
linear_chain,0.1,0.0,0.1,4.534591194968554,0.0013728789626234806,0.008638929312942745,0.0,0.0008979429191599793,0.008549916075706248,0.0,3.808528974272236e-07,6.518701027224459e-07,0.0,1.9453201190532252e-07,3.1979663815553555e-07,3.19699553985278e-07,1.356383280386688e-10,0.0008976703207870005,3.8085289742722367e-07,4.743384504624082e-20,1.0842021724855044e-19,5.7157212438637306e-21,1.0035343615433032,1.7097411021073213e-16,1.0030649745558735,1.0842021724855044e-19,1.7889092120332025e-19
linear_chain,0.1,0.0,0.1,4.584276729559749,0.0013312964314952116,0.008356977584504143,0.0,0.0008708309870509507,0.008270481203607568,0.0,3.581215536681262e-07,6.125751136092279e-07,0.0,1.8072988212328215e-07,2.972229617061769e-07,2.971354685697921e-07,1.2223031841404874e-10,0.0008705746416667288,3.581215536681262e-07,1.3552527156068805e-20,5.421010862427522e-20,1.1469292021029616e-16,1.0034217567017478,1.7097411019480895e-16,1.0029671435948675,1.6263032587282567e-19,1.711502378023921e-19
