case_id,field_channel,particle,component,lmax,control_radius_over_a,theta_order,phi_count,analytic_force,integrated_force,absolute_error,relative_error_or_absolute_if_unresolved,force_resolved
dimer_axis,effective_total,1,x,4,1.01,32,64,-0.35257977168881222,-0.35257977168881371,1.4988010832439613e-15,4.2509559639933258e-15,true
dimer_axis,effective_total,1,y,4,1.01,32,64,4.3670354117397299e-17,2.6793368104525537e-16,2.2426332692785808e-16,6.360640766589226e-16,true
dimer_axis,effective_total,1,z,4,1.01,32,64,0,9.7222458490982276e-16,9.7222458490982276e-16,2.7574599083010086e-15,true
dimer_axis,effective_total,1,x,4,1.04,24,48,-0.35257977168881222,-0.35257977168881366,1.4432899320127035e-15,4.0935131505120914e-15,true
dimer_axis,effective_total,1,y,4,1.04,24,48,4.3670354117397299e-17,-1.4485993784715825e-16,1.8853029196455556e-16,5.3471669988757287e-16,true
dimer_axis,effective_total,1,z,4,1.04,24,48,0,2.0615592566386456e-16,2.0615592566386456e-16,5.8470718463627093e-16,true
dimer_axis,effective_total,1,x,4,1.04,32,64,-0.35257977168881222,-0.35257977168881383,1.609823385706477e-15,4.5658415909557939e-15,true
dimer_axis,effective_total,1,y,4,1.04,32,64,4.3670354117397299e-17,6.5507212555857705e-16,6.1140177144117976e-16,1.7340806833944078e-15,true
dimer_axis,effective_total,1,z,4,1.04,32,64,0,-1.1572817357197176e-16,1.1572817357197176e-16,3.2823259547094418e-16,true
dimer_axis,external,0,x,4,1.01,24,48,0,-1.0167408690149593e-15,1.0167408690149593e-15,1.0167408690149593e-15,false
dimer_axis,external,0,y,4,1.01,24,48,0,-1.3872110535604166e-16,1.3872110535604166e-16,1.3872110535604166e-16,false
dimer_axis,external,0,z,4,1.01,24,48,0,-2.156689540497303e-17,2.156689540497303e-17,2.156689540497303e-17,false
dimer_axis,external,0,x,4,1.01,32,64,0,-1.1693543038710473e-15,1.1693543038710473e-15,1.1693543038710473e-15,false
dimer_axis,external,0,y,4,1.01,32,64,0,8.6540624045692261e-16,8.6540624045692261e-16,8.6540624045692261e-16,false
dimer_axis,external,0,z,4,1.01,32,64,0,1.0433676898803299e-16,1.0433676898803299e-16,1.0433676898803299e-16,false
dimer_axis,external,0,x,4,1.04,24,48,0,-7.3849086568156265e-16,7.3849086568156265e-16,7.3849086568156265e-16,false
dimer_axis,external,0,y,4,1.04,24,48,0,1.8978247792733606e-16,1.8978247792733606e-16,1.8978247792733606e-16,false
