distance_ratio,f1,ka,lmax,full_mode_count,active_mode_count,force_0_x,force_0_y,force_1_x,force_1_y,force_rms,successive_force_error,successive_error_applicable,minimum_confirmed_lmax,physical_residual,balanced_condition,raw_condition
2.0,1.0,0.1,7,64,28,1.6644876204259014,3.2250362298620639e-17,-1.6644876204259011,2.4107777352728689e-16,1.6644876204259011,0.029384372789582492,true,0,4.2556867933038525e-16,2.3957888283163569,8.1330883435086643e+18
2.0,1.0,0.1,9,100,45,1.6854253482591488,3.9744571814488097e-17,-1.6854253482591488,2.4683175461624879e-16,1.6854253482591488,0.012422815317731999,true,0,1.5451904599994985e-16,2.8465034720801481,1.440189194780332e+27
2.0,1.0,0.1,11,144,66,1.6956633602689173,3.446775013290352e-17,-1.6956633602689171,2.4430561657719236e-16,1.6956633602689171,0.0060377621228689601,true,0,2.3211380465903247e-16,3.2994965864480803,2.8155948808501305e+34
2.05,0.1,0.1,1,4,1,0.010812573034595364,0,-0.010812573034595364,1.3241392837536767e-18,0.010812573034595364,0,false,7,9.0273751103982907e-17,1.0119194543940528,1.0119194543940528
2.05,0.1,0.1,3,16,6,0.010939189943653843,6.0083491553946743e-21,-0.010939189943653845,1.3447957250105445e-18,0.010939189943653845,0.011574614730219054,true,7,1.8979725634963619e-16,1.0338988694218787,64.048863656740963
2.05,0.1,0.1,5,36,15,0.010973503158640457,8.8151691987907265e-21,-0.010973503158640459,1.3518566316822128e-18,0.010973503158640459,0.0031269153059473708,true,7,2.1523986308951819e-16,1.0486028293326835,559298404.89549124
2.05,0.1,0.1,7,64,28,0.0109791882301025,8.8809540435578203e-21,-0.010979188230102502,1.3543783840649513e-18,0.010979188230102502,0.00051780435337247784,true,7,1.4512201509951546e-16,1.0579671896593177,17147667607382984
2.05,0.1,0.1,9,100,45,0.010979935753587565,7.6748985561610793e-21,-0.010979935753587565,1.3546634517256089e-18,0.010979935753587565,6.8080861476790225e-05,true,7,1.3919647555197307e-16,1.0638980320454063,1.3723515344216521e+24
2.05,0.4,0.1,1,4,1,0.17615059622937221,0,-0.17615059622937221,2.1571815443520359e-17,0.17615059622937221,0,false,9,3.1977338985184497e-17,1.048545776121065,1.048545776121065
2.05,0.4,0.1,3,16,6,0.18487676726247074,1.4735805227829273e-19,-0.18487676726247076,2.3003293665652348e-17,0.18487676726247076,0.047199933027333503,true,9,1.334812486205358e-16,1.1470445249736176,1063.3084748126785
2.05,0.4,0.1,5,36,15,0.18764721834090634,5.5575036859241829e-19,-0.18764721834090634,2.3612373615069287e-17,0.18764721834090634,0.014764146801272552,true,9,3.8306843990371787e-17,1.2189788030767106,10325755740.290394
