scale_order,case_id,particle_index,position_x,position_y,position_z,model_a_x,model_a_y,model_a_z,model_e_total_x,model_e_total_y,model_e_total_z,model_e_interaction_x,model_e_interaction_y,model_e_interaction_z,model_e_external_scattered_x,model_e_external_scattered_y,model_e_external_scattered_z,model_e_scattered_scattered_x,model_e_scattered_scattered_y,model_e_scattered_scattered_z
4,t14_n15_linear_level4,14,21.558876640293679,0,0,-0.14864834267507016,0,0,-0.15858939439165923,1.9436966412698937e-17,0,-0.15858939439165923,1.9436966412698937e-17,0,-0.15408940344968039,1.8904739977651697e-17,0,-0.0044999909419788358,5.3222643504724111e-19,0
5,t14_n15_compact_level1,0,-24.475928816682746,-14.1311840909779,0,0.0013047597044759662,0.0007533033666069762,0,0.0013062720695039773,0.00075417653096301125,0,0.0013062720695039773,0.00075417653096301125,0,0.0013053131203687833,0.00075362288142166787,0,9.5894913519391197e-07,5.5364954134336441e-07,0
5,t14_n15_compact_level1,1,-12.237964408341373,-14.1311840909779,0,0.00027889948670857924,0.0015295220068330857,0,0.00028046814836387227,0.0015330950679498978,0,0.00028046814836387227,0.0015330950679498978,0,0.00027987860585901937,0.0015307768888731205,0,5.8954250485287891e-07,2.318179076777453e-06,0
5,t14_n15_compact_level1,2,3.6231652961823384e-16,-14.1311840909779,0,-6.7762635780344027e-20,0.0016548568483610356,0,-3.2172988894574563e-19,0.0016594740431467453,0,-3.2172988894574563e-19,0.0016594740431467453,0,-3.2087781737831123e-19,0.0016566536117935773,0,-8.5207156743440729e-22,2.8204313531680474e-06,0
5,t14_n15_compact_level1,3,12.237964408341373,-14.1311840909779,0,-0.00027889948670857924,0.0015295220068330859,0,-0.00028046814836387324,0.0015330950679498976,0,-0.00028046814836387324,0.0015330950679498976,0,-0.00027987860585902035,0.0015307768888731203,0,-5.8954250485288007e-07,2.3181790767774526e-06,0
5,t14_n15_compact_level1,4,24.475928816682746,-14.1311840909779,0,-0.0013047597044759662,0.0007533033666069762,0,-0.001306272069503977,0.00075417653096301082,0,-0.001306272069503977,0.00075417653096301082,0,-0.0013053131203687831,0.00075362288142166744,0,-9.5894913519391197e-07,5.5364954134336377e-07,0
5,t14_n15_compact_level1,5,-18.356946612512061,-3.5327960227444755,0,0.0014640546569190962,-0.00052322696282447348,0,0.0014679333494431773,-0.00052365499253945159,0,0.0014679333494431773,-0.00052365499253945159,0,0.0014656309762197401,-0.00052300646178687611,0,2.3023732234372707e-06,-6.4853075257542228e-07,0
5,t14_n15_compact_level1,6,-6.1189822041706865,-3.5327960227444755,0,0.00025162727755098738,0.00014527707642951392,0,0.00025331247396278677,0.00014625002503150587,0,0.00025331247396278677,0.00014625002503150587,0,0.00025258159429161493,0.00014582805145660959,0,7.3087967117183092e-07,4.2197357489628432e-07,0
5,t14_n15_compact_level1,7,6.1189822041706865,-3.5327960227444755,0,-0.00025162727755098738,0.00014527707642951387,0,-0.00025331247396278813,0.00014625002503150541,0,-0.00025331247396278813,0.00014625002503150541,0,-0.00025258159429161628,0.00014582805145660913,0,-7.3087967117183399e-07,4.2197357489628331e-07,0
5,t14_n15_compact_level1,8,18.356946612512061,-3.5327960227444755,0,-0.0014640546569190964,-0.00052322696282447359,0,-0.001467933349443178,-0.00052365499253945234,0,-0.001467933349443178,-0.00052365499253945234,0,-0.0014656309762197408,-0.00052300646178687687,0,-2.302373223437272e-06,-6.4853075257542302e-07,0
5,t14_n15_compact_level1,9,-12.237964408341373,7.06559204548895,0,0.0014331480703073081,-0.00082742842418051749,0,0.0014371466782859544,-0.00082973702157337242,0,0.0014371466782859544,-0.00082973702157337242,0,0.0014347041130844808,-0.00082832680589678843,0,2.4425652014736481e-06,-1.410215676584023e-06,0
5,t14_n15_compact_level1,10,3.6231652961823384e-16,7.06559204548895,0,0,-0.00029055415285903071,0,-1.4343172524766465e-18,-0.00029250005006301082,0,-1.4343172524766465e-18,-0.00029250005006301082,0,-1.4310434187150276e-18,-0.00029165610291321826,0,-3.2738337616188797e-21,-8.4394714979256504e-07,0
5,t14_n15_compact_level1,11,12.237964408341373,7.06559204548895,0,-0.0014331480703073081,-0.00082742842418051781,0,-0.0014371466782859557,-0.00082973702157337198,0,-0.0014371466782859557,-0.00082973702157337198,0,-0.0014347041130844821,-0.00082832680589678799,0,-2.4425652014736502e-06,-1.410215676584023e-06,0
5,t14_n15_compact_level1,12,-6.1189822041706865,17.663980113722378,0,0.001185155170210518,-0.0010062950440086109,0,0.0011874652010793044,-0.0010094400754104449,0,0.0011874652010793044,-0.0010094400754104449,0,0.0011857523703607199,-0.001007770427086243,0,1.7128307185843898e-06,-1.6696483242020307e-06,0
