holdout_order,case_id,particle_index,position_x,position_y,position_z,model_a_x,model_a_y,model_a_z,model_d_x,model_d_y,model_d_z,model_e_total_x,model_e_total_y,model_e_total_z,model_e_interaction_x,model_e_interaction_y,model_e_interaction_z,model_e_external_scattered_x,model_e_external_scattered_y,model_e_external_scattered_z,model_e_scattered_scattered_x,model_e_scattered_scattered_y,model_e_scattered_scattered_z
16,n10_linear_f0.8_d3.0,2,-7.5,0,0,0.0035823964501557411,0,0,0.0042085563797997312,2.0748013760783619e-17,0,0.0044487230812802923,2.1564667787173578e-17,0,0.0044487230812802923,2.1564667787173578e-17,0,0.0042051686862461949,2.072316569731292e-17,0,0.00024355439503409747,8.4150208986065785e-19,0
16,n10_linear_f0.8_d3.0,3,-4.5,0,0,0.0013246028785891769,0,0,0.0015513219128718788,2.1253241368594907e-17,0,0.0016407520763627966,2.1875745003860241e-17,0,0.0016407520763627966,2.1875745003860241e-17,0,0.0015500495258559319,2.1002535247603558e-17,0,9.0702550506864757e-05,8.7320975625668113e-19,0
16,n10_linear_f0.8_d3.0,4,-1.5,0,0,0.00036076212156760737,0,0,0.00042136526181356913,2.105115032547039e-17,0,0.00044574745467790885,2.2178906142946959e-17,0,0.00044574745467790885,2.2178906142946959e-17,0,0.00042101778834574842,2.1287045112916856e-17,0,2.4729666332160435e-05,8.9186103003010293e-19,0
16,n10_linear_f0.8_d3.0,5,1.5,0,0,-0.00036076212156761593,0,0,-0.00042136526181368221,2.1270082288855283e-17,0,-0.00044574745467795569,2.2125930449246765e-17,0,-0.00044574745467795569,2.2125930449246765e-17,0,-0.00042101778834579287,2.1247387502201513e-17,0,-2.4729666332162823e-05,8.7854294704525212e-19,0
16,n10_linear_f0.8_d3.0,6,4.5,0,0,-0.0013246028785891769,0,0,-0.0015513219128718574,2.120833224790057e-17,0,-0.0016407520763627318,2.2147786573986614e-17,0,-0.0016407520763627318,2.2147786573986614e-17,0,-0.0015500495258558703,2.1240430092408504e-17,0,-9.0702550506861437e-05,9.0735648157811043e-19,0
16,n10_linear_f0.8_d3.0,7,7.5,0,0,-0.0035823964501557337,0,0,-0.0042085563797996843,2.115219584703265e-17,0,-0.0044487230812802255,2.198988100929596e-17,0,-0.0044487230812802255,2.198988100929596e-17,0,-0.0042051686862461324,2.1108105115484157e-17,0,-0.00024355439503409324,8.8177589381180426e-19,0
16,n10_linear_f0.8_d3.0,8,10.5,0,0,-0.013580231639350349,0,0,-0.015722835449968754,2.1174650407379819e-17,0,-0.016589532289928172,2.199179497056153e-17,0,-0.016589532289928172,2.199179497056153e-17,0,-0.015710944335995052,2.113319199508526e-17,0,-0.00087858795393312066,8.5860297547627089e-19,0
16,n10_linear_f0.8_d3.0,9,13.5,0,0,-0.16485407146341741,0,0,-0.17159507682953595,2.1197104967726987e-17,0,-0.17709430803304244,2.185721968993478e-17,0,-0.17709430803304244,2.185721968993478e-17,0,-0.17149750314308063,2.1143962503255026e-17,0,-0.0055968048899618112,7.1325718667975452e-19,0
17,n10_compact_f0.1_d6.0,0,-9.0000000000000018,-5.196152422706632,0,0.00028003197752594406,0.00016167653760630699,0,0.00028042038750826829,0.0001619007862141578,0,0.00027965057569998247,0.00016145633515941854,0,0.00027965057569998247,0.00016145633515941854,0,0.00027942583120512912,0.00016132657886481605,0,2.2474449485337639e-07,1.297562946024832e-07,0
17,n10_compact_f0.1_d6.0,1,-3,-5.196152422706632,0,3.5786237741596306e-05,0.0003127977514869841,0,3.5942175776468951e-05,0.0003133017419223032,0,3.5863365073511534e-05,0.00031260992155146382,0,3.5863365073511534e-05,0.00031260992155146382,0,3.58132397208941e-05,0.00031219096707436959,0,5.0125352617434357e-08,4.1895447709424879e-07,0
