geometry,ka,f0,f1,d_min_over_a,rms_a_vs_c,rms_b_vs_c,max_symmetric_a_vs_c,max_symmetric_b_vs_c,max_angle_a_vs_c_deg,max_angle_b_vs_c_deg,rms_two_body_correction,rms_irreducible_multibody,residual_relative,condition_number,sum_c_x,sum_c_y
scalene,0.1,0.0,0.8,4.087421383647799,0.00961739861272239,0.004424854872790171,0.01038072343645275,0.0063565975296919165,0.03689057436377575,0.0003342237586026486,0.0002808516142850997,0.00022988103969072228,7.646194652202115e-17,1.0283320177615867,-7.829935151465635e-05,-0.00011552142440250657
scalene,0.1,0.0,0.8,4.1371069182389935,0.009293557571659986,0.004275815589485974,0.010029080788188238,0.006139957721207842,0.035610854745511,0.00031179575102097053,0.0002587086460704518,0.00021176827500364725,7.64619488007647e-17,1.0273281803986412,-7.207266001448085e-05,-0.0001063335226423115
scalene,0.1,0.0,0.8,4.186792452830189,0.008984630928485325,0.004133670652211333,0.009693736839585815,0.00593339471928099,0.03440768670045639,0.00029112304250374186,0.00023856032764427447,0.00019528893791190169,1.32435982799921e-16,1.0263722989415072,-6.640979280226385e-05,-9.797856179241671e-05
scalene,0.1,0.0,0.8,4.2364779874213845,0.008689760634432622,0.003998020680608772,0.009373746588154423,0.005736322760967183,0.033259530120256,0.00027203779387805594,0.00022020546226354465,0.0001802778607219632,1.7097411215336312e-16,1.0254615180449358,-6.12537277760387e-05,-9.037214094739787e-05
scalene,0.1,0.0,0.8,4.286163522012579,0.00840814737698461,0.0038684938846838767,0.009068230355090844,0.005548196686437371,0.03216327345995818,0.0002544073559290107,0.00020346524710415932,0.000166588325672263,1.7097411011519292e-16,1.0245931857957886,-5.6553794438810945e-05,-8.343928435965153e-05
scalene,0.1,0.0,0.8,4.335849056603774,0.008139045936787189,0.003744743858378405,0.008776368558611025,0.005368508679745223,0.03111601377715462,0.00023810490330904342,0.00018818055363094703,0.0001540898139513301,1.0813352338820364e-16,1.0237648368458558,-5.226490304154302e-05,-7.711329401608596e-05
scalene,0.1,0.0,0.8,4.385534591194968,0.007881760959513708,0.003626447573149149,0.008497396961260908,0.005196785306300638,0.030115040547741206,0.00022301149453760437,0.000174209565134142,0.00014266605197742375,2.1626704516509227e-16,1.0229741771393681,-4.8346874779342606e-05,-7.133475317988233e-05
scalene,0.1,0.0,0.8,4.435220125786164,0.0076356431014223975,0.003513303551326752,0.008230602343285782,0.005032584816901244,0.029157821038217457,0.00020902638727139436,0.00016142572107887657,0.00013221331276078743,2.63997855900607e-20,1.022219070065929,-4.4763858833534636e-05,-6.605065958458292e-05
scalene,0.1,0.0,0.8,4.484905660377359,0.007400085511851804,0.00340503020127422,0.007975318559415906,0.004875494691532103,0.028241986963700106,0.00019605401870333018,0.000149715925488403,0.00012263893656039014,7.646194652202115e-17,1.0214975238895627,-4.148382418186808e-05,-6.121367017697735e-05
scalene,0.1,0.0,0.8,4.534591194968554,0.007174520619872555,0.0033013642983598726,0.0077309229411698915,0.004725129399136047,0.02736532198211995,0.00018401347567899344,0.0001389789829459986,0.00011386004040994301,1.5292389874090115e-16,1.0208076803218675,-3.847811588956747e-05,-5.67814420015314e-05
scalene,0.1,0.0,0.8,4.584276729559749,0.006958417195818501,0.003202059597488699,0.007496833010887026,0.00458112835214313,0.026525750632649496,0.00017281905538901705,0.00012912423116060543,0.00010580239059616052,1.0813352338820364e-16,1.0201478041224359,-3.572106710344374e-05,-5.27160560896793e-05
scalene,0.1,0.0,0.8,4.633962264150943,0.006751277661522081,0.0031068855644755043,0.007272503477341793,0.0044431540368504475,0.025721328101753285,0.00016240561203977703,0.00012007034356346058,9.839941597124161e-05,7.64619488007647e-17,1.0195162736229006,-3.318965924568114e-05,-4.8983513132389717e-05
scalene,0.1,0.0,0.8,4.683647798742139,0.006552635625814379,0.0030156262149029552,0.007057423486027245,0.00431089030278501,0.024950230417366766,0.00015271574051779462,0.00011174427922550628,9.159134318883936e-05,1.529238976015294e-16,1.0189115720825728,-3.0863223981792646e-05,-4.5553291333218227e-05
scalene,0.1,0.0,0.8,4.733333333333333,0.006362053624283475,0.0029280790502992176,0.006851114099992463,0.004184040795933831,0.02421074621413903,0.0001436802374820052,0.0001040803606238413,8.532443766552562e-05,2.63997855900607e-20,1.0183322797937915,-2.8723181450812738e-05,-4.2397958209799275e-05
scalene,0.1,0.0,0.8,4.783018867924529,0.006179121044437259,0.0028440540825287334,0.006653125989677525,0.004062327522346249,0.023501268366102012,0.00013524971080398007,9.701946253326142e-05,7.955033636906729e-05,2.417939089425867e-16,1.0177770668640418,-2.6752810021976798e-05,-3.949282927523043e-05
scalene,0.1,0.0,0.8,4.8327044025157235,0.006003452219328678,0.0027633729382337676,0.006463037312382175,0.003945489529981553,0.022820286837443058,0.0001273926411950624,9.050829765454636e-05,7.422546048739549e-05,7.64619488007647e-17,1.0172446866097593,-2.4937043501793905e-05,-3.681566751892809e-05
