case_id,lmax,rms_d,rms_matched_pairwise,rms_collective_residual,delta_d,delta_d_applicable,delta_b,delta_b_applicable,delta_r,delta_r_applicable,physical_residual,balanced_condition,raw_condition
n10_linear_f0.1_d2.5,7,0.0024035623350942164,0.0023968276341291778,8.4899059777198058e-06,2.208716175752448e-05,true,3.054354617368234e-05,true,2.615152001978114e-05,true,5.8893135635896904e-16,1.0175202662224492,1667102667033712.2
n10_linear_f0.1_d3.0,1,0.001161411107582031,0.0011582270026577713,4.0962637346712753e-06,0,false,0,false,0,false,2.1305519083847181e-16,1.0077576638286549,1.0077576638286549
n10_linear_f0.1_d3.0,3,0.0011621536133075816,0.0011598653559404893,2.908653650551404e-06,0.0010190371445431129,true,0.0014144002407748394,true,0.001026268532002179,true,2.1068572092596869e-16,1.0086861556339535,7.2259453219130201
n10_linear_f0.1_d3.0,5,0.0011621766203222233,0.0011599525731691258,2.8259007171825342e-06,5.6710046412332559e-05,true,7.5318588531085221e-05,true,7.2425196525802615e-05,true,5.7115886141820536e-16,1.00873460281598,9757258.6397609375
n10_linear_f0.1_d3.0,7,0.0011621773158271992,0.0011599556277095519,2.8228726690030514e-06,2.02813297907829e-06,true,2.6378438646984141e-06,true,2.6592085869509879e-06,true,6.0150522783238167e-16,1.0087364691780238,61896556765375.391
n10_linear_f0.1_d4.0,1,0.00037336811144695741,0.00037291808374114544,5.8044594350382641e-07,0,false,0,false,0,false,2.1038040471578735e-16,1.0033724626723233,1.0033724626723235
n10_linear_f0.1_d4.0,3,0.00037342693736455761,0.00037305859417896775,4.7285039534147186e-07,0.00027184490244096563,true,0.00037762281766979172,true,0.00028958624984858896,true,2.2452263943842769e-16,1.0035042188938375,1.7268869073986675
n10_linear_f0.1_d4.0,5,0.00037342715700630679,0.000373060521427348,4.7066030013427006e-07,4.3356902049721951e-06,true,5.1826285926370998e-06,true,5.9692818988417677e-06,true,5.0886117900182248e-16,1.0035057725445371,174495.63173888167
n10_linear_f0.1_d6.0,1,7.7156380464170359e-05,7.712711837753024e-05,3.8297648720914959e-08,0,false,0,false,0,false,2.1038040471578735e-16,1.0010690995332279,1.0010690995332279
n10_linear_f0.1_d6.0,3,7.7160303972764264e-05,7.7133575345716431e-05,3.4991598000885319e-08,6.1948798036240332e-05,true,8.4025694267852392e-05,true,4.3093080410600259e-05,true,2.0042825554334753e-16,1.0010801072378746,1.0773648043130766
n10_linear_f0.1_d6.0,5,7.7160303858960562e-05,7.7133584922177081e-05,3.4979295629021175e-08,1.1557643476101763e-07,true,1.2476835148141914e-07,true,1.6263594132468618e-07,true,6.5394682068660884e-16,1.0010801303815215,612.64386496717611
n10_linear_f0.1_d10.0,1,1.132273928354862e-05,1.1321796845357655e-05,1.2394366237768302e-09,0,false,0,false,0,false,1.8897951887028539e-16,1.0002599295004388,1.0002599295004388
n10_linear_f0.1_d10.0,3,1.1322933211194319e-05,1.1322022475814429e-05,1.1982247199098309e-09,1.7565100531313812e-05,true,1.9990709659110607e-05,true,3.6510519375212727e-06,true,3.0172500948918671e-16,1.0002606416993731,1.0062933158001905
