model,scope_type,scope,point_count,rmse_log,mae_log,fraction_within_factor_2,fraction_within_factor_1_5,spearman,worst_multiplicative_ratio
M2,group,n3_linear,4,0.44677935650203554,0.40953479303044449,1,0.5,1,1.9265847263385474
M2,group,n4_compact,4,0.396294429539369,0.34256295885852045,1,0.75,1,1.787921969861763
M2,group,n4_irregular,4,0.32279770651195056,0.30425850219111616,1,0.75,1,1.6247352298025584
M2,group,n4_linear,4,0.32716022173545312,0.29112031554535905,1,0.75,1,1.5454199818956196
M2,particle_count,2,4,1.475112167982171,0.98934432476275225,0.75,0.5,1,17.329935700128704
M2,particle_count,3,12,0.4194094434824705,0.35179876112171521,0.91666666666666663,0.66666666666666663,0.91608391608391626,2.4859225643679492
M2,particle_count,4,12,0.35037191901335363,0.3126472588649985,1,0.75,0.97202797202797209,1.787921969861763
M2,family,compact,8,0.46839078071362172,0.39459939950847411,0.875,0.625,0.97619047619047628,2.4859225643679492
M2,family,irregular,8,0.27438006282229294,0.25174207618369476,1,0.875,1,1.6247352298025584
M2,family,linear,8,0.39156455667128748,0.35032755428790174,1,0.625,0.95238095238095244,1.9265847263385474
M2,family,pair,4,1.475112167982171,0.98934432476275225,0.75,0.5,1,17.329935700128704
M2,f1,0.10000000000000001,8,0.47315547391809282,0.40056470118982274,0.875,0.5,0.69047619047619058,2.4859225643679492
M2,f1,0.40000000000000002,4,0.3294479439451658,0.29107075669767246,1,0.75,1,1.5077988082252851
M2,f1,0.80000000000000004,8,0.28582405145769801,0.27044633290409764,1,1,0.80952380952380965,1.4975458685261833
M2,f1,1,8,1.084497871672599,0.67479477991869019,0.875,0.5,0.95238095238095244,17.329935700128704
M2,distance_ratio,2.1000000000000001,10,0.49523731431154311,0.43951265202754436,0.90000000000000002,0.40000000000000002,0.72121212121212108,2.4859225643679492
M2,distance_ratio,2.5,4,0.32125376032678565,0.28418412822055422,1,1,0.79999999999999993,1.4975458685261833
M2,distance_ratio,3,8,0.32661035695413215,0.27991732748216397,1,0.875,0.71428571428571441,1.9265847263385474
M2,distance_ratio,4,3,0.1925218722232048,0.16852595666944067,1,1,0.5,1.3402877488367124
M2,distance_ratio,6,3,1.6790668323534774,1.2179833386227601,0.66666666666666663,0.33333333333333331,-0.5,17.329935700128704
