case_id,channel,final_lmax,confirmation_order,last_change,classification,q_median_last_four,q_minimum_last_four,q_maximum_last_four,q_count,oscillatory_last_five
n3_linear_f1.0_d2.1,interaction,21,19,2.4595075555941075e-06,directly_confirmed,0.72865636979656634,0.23085906226277292,1.2320453456263565,4,true
n3_linear_f1.0_d2.1,external_scattered,21,17,1.6154866003464142e-07,directly_confirmed,0.73992899452669192,0.19332681651193903,1.3280731638361418,4,true
n3_linear_f1.0_d2.1,scattered_scattered,21,21,9.7689641470694148e-06,directly_confirmed,0.72821190515594414,0.23305724057361171,1.2273682971415678,4,true
n4_irregular_f0.8_d2.1,total,20,17,6.3047505438228023e-07,directly_confirmed,0.51080766159980517,0.50879675242439704,0.51225260172282538,4,false
n4_irregular_f0.8_d2.1,interaction,20,17,6.3047505438228023e-07,directly_confirmed,0.51080766159980517,0.50879675242439704,0.51225260172282538,4,false
n4_irregular_f0.8_d2.1,external_scattered,20,14,4.156447261837754e-08,directly_confirmed,0.47925006974322282,0.47348384630688312,0.48384648861706903,4,false
n4_irregular_f0.8_d2.1,scattered_scattered,20,20,3.5477778949285304e-06,directly_confirmed,0.51297762875638719,0.51150425933833132,0.51401725304450618,4,false
n4_linear_f0.8_d2.1,total,21,17,6.4168014564223934e-07,directly_confirmed,0.64494504304930755,0.25206128548587253,1.0451129869109186,4,true
n4_linear_f0.8_d2.1,interaction,21,17,6.4168014564223934e-07,directly_confirmed,0.64494504304930755,0.25206128548587253,1.0451129869109186,4,true
n4_linear_f0.8_d2.1,external_scattered,21,15,4.3800566982115562e-08,directly_confirmed,0.62611222230706909,0.22343051572562428,1.047303456817942,4,true
n4_linear_f0.8_d2.1,scattered_scattered,21,21,3.3401754401370945e-06,directly_confirmed,0.64639089914027337,0.25378329824948487,1.04486372034638,4,true
n3_compact_f0.1_d2.1,total,15,12,6.5592736268657178e-08,directly_confirmed,0.33936899414735128,0.33488442496984644,0.34661574956536434,4,false
n3_compact_f0.1_d2.1,interaction,15,12,6.5592736268657178e-08,directly_confirmed,0.33936899414735128,0.33488442496984644,0.34661574956536434,4,false
n3_compact_f0.1_d2.1,external_scattered,15,11,1.106598331699195e-08,directly_confirmed,0.32253144333804551,0.31477411637102304,0.32909349318182185,4,false
n3_compact_f0.1_d2.1,scattered_scattered,15,15,2.1703005884220344e-06,directly_confirmed,0.34339728515073931,0.33914815923919922,0.3508619306166556,4,false
n4_compact_f0.1_d2.1,total,15,12,5.3573294624801148e-08,directly_confirmed,0.33202979138999833,0.32269203811959907,0.3538637613887633,4,false
n4_compact_f0.1_d2.1,interaction,15,12,5.3573294624801148e-08,directly_confirmed,0.33202979138999833,0.32269203811959907,0.3538637613887633,4,false
n4_compact_f0.1_d2.1,external_scattered,15,10,9.0252541133950267e-09,directly_confirmed,0.31586682517335463,0.30489734959998804,0.33434440566868773,4,false
n4_compact_f0.1_d2.1,scattered_scattered,15,15,1.869818279302085e-06,directly_confirmed,0.33587078258215708,0.32644072642097055,0.35860391501534,4,false
n4_irregular_f0.1_d2.1,total,15,11,4.0405780994065354e-08,directly_confirmed,0.3329040586534957,0.32838771963481167,0.34010197806469394,4,false
n4_irregular_f0.1_d2.1,interaction,15,11,4.0405780994065354e-08,directly_confirmed,0.3329040586534957,0.32838771963481167,0.34010197806469394,4,false
n4_irregular_f0.1_d2.1,external_scattered,15,10,6.7515188386875171e-09,directly_confirmed,0.31591318648058309,0.31331550349228265,0.31987318939024312,4,false
n4_irregular_f0.1_d2.1,scattered_scattered,15,15,1.876005768176476e-06,directly_confirmed,0.33685789086584694,0.33221621208081242,0.34437858132236915,4,false
n4_linear_f0.1_d2.1,total,15,12,7.8189431016701956e-08,directly_confirmed,0.37360016756308451,0.20159098048887075,0.57075915064056482,4,false
n4_linear_f0.1_d2.1,interaction,15,12,7.8189431016701956e-08,directly_confirmed,0.37360016756308451,0.20159098048887075,0.57075915064056482,4,false
n4_linear_f0.1_d2.1,external_scattered,15,11,1.9681041197464767e-08,directly_confirmed,0.42921146688083339,0.12970840977726603,0.74671363697967386,4,false
n4_linear_f0.1_d2.1,scattered_scattered,15,15,3.1152399044663896e-06,directly_confirmed,0.34914874069380214,0.2569409026552672,0.47488250395526149,4,false
