scale_order,case_id,particle_count,family,target_level,radius,k,ka,energy_density,f0,f1,geometry_factor,lambda_target,distance_ratio,minimum_distance,overlap_margin,cluster_diameter,k_cluster_diameter,coordinates_xyz,coordinate_sha256,lambda_max,rho_l1,provenance,model_e_response_consulted
11,t14_n15_irregular_level3,15,irregular,3,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,3.5423205978880388,0.025457132710914911,4.8104915372034718,4.8104915372034718,2.8104915372034718,27.481450777546726,2.748145077754673,-13.70322266443865:-8.3983851749124483:0;-5.9713605884947372:-7.2215886430456671:0;0.060861509801627724:-6.5258713132663111:0;5.927012588445141:-7.8592587680357608:0;13.777853318809409:-8.254859422274766:0;-10.613724523993852:-1.251011784448832:0;-2.425963925078082:-1.1755690428370056:0;2.8618869846368096:-2.6149781775707619:0;9.5498023446807867:-2.3664410566801259:0;-5.8225250164489442:4.5984467803181861:0;-0.89059322731304014:4.0385207552849431:0;7.4112847270455129:2.7810791880303039:0;-3.9305135948375103:9.2054471444361248:0;3.5315043952512304:10.273159141484911:0;0.23769767193430053:14.771310373517208:0,3e607e0fe3fef374c49cf5bae1f5060b2ca84baa799d4e9487610685ccd8e698,0.025457132710914914,0.011159070907567013,pre_registered_analytic_scale_out_geometry,false
12,t14_n15_irregular_level4,15,irregular,4,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,3.5423205978880388,0.065350897425260762,3.5132476561950843,3.5132476561950843,1.5132476561950843,20.070535783373277,2.0070535783373278,-10.00787851632845:-6.1335950397986716:0;-4.3610654814748253:-5.2741448930881027:0;0.044449003809570287:-4.76604145722954:0;4.3286767939516881:-5.7398546973193447:0;10.062383543417802:-6.0287738359449161:0;-7.7515244583714713:-0.91365179329311152:0;-1.7717549252252007:-0.85855367429740415:0;2.0901227376268445:-1.9097977581502152:0;6.9745098697503396:-1.7282835717737204:0;-4.2523663556985198:3.3583849484293071:0;-0.65042720567796541:2.9494540148901831:0;5.4126856882121865:2.0311063564868963:0;-2.8705731145997269:6.7230168381543507:0;2.5791646120786504:7.5027992454431711:0;0.17359780852908027:10.787935317491117:0,90fd7cd6e04af813583ddfcdfeabfeed792c12df527f5a307e8003065a86dc44,0.065350897425260748,0.026664155174614235,pre_registered_analytic_scale_out_geometry,false
13,t14_n28_linear_level1,28,linear,1,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,2.3989987721157564,0.0031111241226691642,8.5127045015070451,8.5127045015070451,6.5127045015070451,229.84302154069022,22.984302154069024,-114.92151077034511:0:0;-106.40880626883806:0:0;-97.896101767331018:0:0;-89.383397265823973:0:0;-80.870692764316928:0:0;-72.357988262809883:0:0;-63.845283761302838:0:0;-55.332579259795793:0:0;-46.819874758288748:0:0;-38.307170256781703:0:0;-29.794465755274658:0:0;-21.281761253767613:0:0;-12.769056752260568:0:0;-4.2563522507535225:0:0;4.2563522507535225:0:0;12.769056752260568:0:0;21.281761253767613:0:0;29.794465755274658:0:0;38.307170256781703:0:0;46.819874758288748:0:0;55.332579259795793:0:0;63.845283761302838:0:0;72.357988262809883:0:0;80.870692764316928:0:0;89.383397265823973:0:0;97.896101767331018:0:0;106.40880626883806:0:0;114.92151077034511:0:0,29a0ccc54d7142d03b6ba421a6ad37d0d87db6ba93882c552781500f24f99270,0.0031111241226691659,0.0019594472290782126,pre_registered_analytic_scale_out_geometry,false
14,t14_n28_linear_level2,28,linear,2,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,2.3989987721157564,0.011108933664494051,5.5694957867354855,5.5694957867354802,3.5694957867354802,150.37638624185811,15.037638624185812,-75.188193120929057:0:0;-69.61869733419357:0:0;-64.049201547458082:0:0;-58.479705760722595:0:0;-52.910209973987115:0:0;-47.340714187251628:0:0;-41.77121840051614:0:0;-36.201722613780653:0:0;-30.632226827045169:0:0;-25.062731040309686:0:0;-19.493235253574198:0:0;-13.923739466838715:0:0;-8.3542436801032274:0:0;-2.7847478933677428:0:0;2.7847478933677428:0:0;8.3542436801032274:0:0;13.923739466838715:0:0;19.493235253574198:0:0;25.062731040309686:0:0;30.632226827045169:0:0;36.201722613780653:0:0;41.77121840051614:0:0;47.340714187251628:0:0;52.910209973987115:0:0;58.479705760722595:0:0;64.049201547458082:0:0;69.61869733419357:0:0;75.188193120929057:0:0,804cdf57cfcfc15d06a9f5ba75e02e7863f464e9b0311e88ab4e35b1e8aa4c48,0.011108933664494053,0.0063774699025836937,pre_registered_analytic_scale_out_geometry,false
15,t14_n28_linear_level3,28,linear,3,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,2.3989987721157564,0.025457132710914911,4.224450011000374,4.2244500110003713,2.2244500110003713,114.0601502970101,11.40601502970101,-57.030075148505048:0:0;-52.805625137504677:0:0;-48.581175126504299:0:0;-44.356725115503927:0:0;-40.132275104503556:0:0;-35.907825093503178:0:0;-31.683375082502806:0:0;-27.458925071502431:0:0;-23.234475060502056:0:0;-19.010025049501682:0:0;-14.785575038501308:0:0;-10.561125027500935:0:0;-6.3366750165005605:0:0;-2.112225005500187:0:0;2.112225005500187:0:0;6.3366750165005605:0:0;10.561125027500935:0:0;14.785575038501308:0:0;19.010025049501682:0:0;23.234475060502056:0:0;27.458925071502431:0:0;31.683375082502806:0:0;35.907825093503178:0:0;40.132275104503556:0:0;44.356725115503927:0:0;48.581175126504299:0:0;52.805625137504677:0:0;57.030075148505048:0:0,18a5b2ed59829d9f0a4136c711f223aa22405532b50a025b875ab86a64501496,0.025457132710914935,0.0139851492359212,pre_registered_analytic_scale_out_geometry,false
16,t14_n28_linear_level4,28,linear,4,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,2.3989987721157564,0.065350897425260762,3.0852437812391069,3.0852437812391056,1.0852437812391056,83.301582093455892,8.3301582093455888,-41.650791046727946:0:0;-38.565547265488838:0:0;-35.480303484249731:0:0;-32.395059703010624:0:0;-29.309815921771516:0:0;-26.224572140532409:0:0;-23.139328359293302:0:0;-20.054084578054194:0:0;-16.968840796815087:0:0;-13.883597015575981:0:0;-10.798353234336874:0:0;-7.7131094530977675:0:0;-4.6278656718586602:0:0;-1.5426218906195535:0:0;1.5426218906195535:0:0;4.6278656718586602:0:0;7.7131094530977675:0:0;10.798353234336874:0:0;13.883597015575981:0:0;16.968840796815087:0:0;20.054084578054194:0:0;23.139328359293302:0:0;26.224572140532409:0:0;29.309815921771516:0:0;32.395059703010624:0:0;35.480303484249731:0:0;38.565547265488838:0:0;41.650791046727946:0:0,6985a44bce11ca4fad3eb537847503bb53d269489299af11ec24ccfceadb74cc,0.065350897425260776,0.034599584965886145,pre_registered_analytic_scale_out_geometry,false
17,t14_n28_compact_level1,28,compact,1,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,8.3008388703215701,0.0031111241226691642,12.875522955828686,12.875522955828684,10.875522955828684,77.253137734972142,7.7253137734972146,-38.626568867486071:-22.301059933514697:0;-25.751045911657378:-22.301059933514697:0;-12.875522955828689:-22.301059933514697:0;6.126300874136039e-16:-22.301059933514697:0;12.875522955828689:-22.301059933514697:0;25.751045911657378:-22.301059933514697:0;38.626568867486071:-22.301059933514697:0;-32.188807389571721:-11.150529966757349:0;-19.313284433743036:-11.150529966757349:0;-6.4377614779143446:-11.150529966757349:0;6.4377614779143446:-11.150529966757349:0;19.313284433743036:-11.150529966757349:0;32.188807389571721:-11.150529966757349:0;-25.751045911657378:6.1263008741360468e-16:0;-12.875522955828689:6.1263008741360468e-16:0;6.126300874136039e-16:6.1263008741360468e-16:0;12.875522955828689:6.1263008741360468e-16:0;25.751045911657378:6.1263008741360468e-16:0;-19.313284433743036:11.150529966757352:0;-6.4377614779143446:11.150529966757352:0;6.4377614779143446:11.150529966757352:0;19.313284433743036:11.150529966757352:0;-12.875522955828689:22.301059933514697:0;6.126300874136039e-16:22.301059933514697:0;12.875522955828689:22.301059933514697:0;-6.4377614779143446:33.451589900272047:0;6.4377614779143446:33.451589900272047:0;6.126300874136039e-16:44.602119867029408:0,aa5572927f8d55578974a126a7f4247b59bf8d215fe9ac35426c2514fd17a487,0.0031111241226691659,0.0018697895271108194,pre_registered_analytic_scale_out_geometry,false
18,t14_n28_compact_level2,28,compact,2,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,8.3008388703215701,0.011108933664494051,8.4238999300173862,8.4238999300173845,6.4238999300173845,50.543399580104342,5.0543399580104342,-25.271699790052168:-14.590622676666026:0;-16.847799860034776:-14.590622676666026:0;-8.423899930017388:-14.590622676666026:0;4.0081747111900914e-16:-14.590622676666026:0;8.423899930017388:-14.590622676666026:0;16.847799860034776:-14.590622676666026:0;25.271699790052168:-14.590622676666026:0;-21.059749825043468:-7.295311338333013:0;-12.635849895026084:-7.295311338333013:0;-4.211949965008694:-7.295311338333013:0;4.211949965008694:-7.295311338333013:0;12.635849895026084:-7.295311338333013:0;21.059749825043468:-7.295311338333013:0;-16.847799860034776:4.0081747111900958e-16:0;-8.423899930017388:4.0081747111900958e-16:0;4.0081747111900914e-16:4.0081747111900958e-16:0;8.423899930017388:4.0081747111900958e-16:0;16.847799860034776:4.0081747111900958e-16:0;-12.635849895026084:7.2953113383330148:0;-4.211949965008694:7.2953113383330148:0;4.211949965008694:7.2953113383330148:0;12.635849895026084:7.2953113383330148:0;-8.423899930017388:14.590622676666026:0;4.0081747111900914e-16:14.590622676666026:0;8.423899930017388:14.590622676666026:0;-4.211949965008694:21.885934014999037:0;4.211949965008694:21.885934014999037:0;4.0081747111900914e-16:29.181245353332059:0,64bf6c3919a04a412e0133600cb16995166a79971662253334032ba2d3e8de13,0.011108933664494062,0.0059868595547839919,pre_registered_analytic_scale_out_geometry,false
19,t14_n28_compact_level3,28,compact,3,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,8.3008388703215701,0.025457132710914911,6.3895091251853957,6.3895091251853948,4.3895091251853948,38.337054751112383,3.8337054751112385,-19.168527375556192:-11.066954440246077:0;-12.779018250370795:-11.066954440246077:0;-6.3895091251853975:-11.066954440246077:0;3.0401914915000145e-16:-11.066954440246077:0;6.3895091251853975:-11.066954440246077:0;12.779018250370795:-11.066954440246077:0;19.168527375556192:-11.066954440246077:0;-15.973772812963492:-5.5334772201230384:0;-9.5842636877780958:-5.5334772201230384:0;-3.1947545625926987:-5.5334772201230384:0;3.1947545625926987:-5.5334772201230384:0;9.5842636877780958:-5.5334772201230384:0;15.973772812963492:-5.5334772201230384:0;-12.779018250370795:3.0401914915000185e-16:0;-6.3895091251853975:3.0401914915000185e-16:0;3.0401914915000145e-16:3.0401914915000185e-16:0;6.3895091251853975:3.0401914915000185e-16:0;12.779018250370795:3.0401914915000185e-16:0;-9.5842636877780958:5.5334772201230402:0;-3.1947545625926987:5.5334772201230402:0;3.1947545625926987:5.5334772201230402:0;9.5842636877780958:5.5334772201230402:0;-6.3895091251853975:11.066954440246077:0;3.0401914915000145e-16:11.066954440246077:0;6.3895091251853975:11.066954440246077:0;-3.1947545625926987:16.600431660369118:0;3.1947545625926987:16.600431660369118:0;3.0401914915000145e-16:22.133908880492161:0,d431325453e775964b178af32a06eefe41bf46e6f5365e9e35ffd7438b485ce9,0.025457132710914921,0.012697080547770712,pre_registered_analytic_scale_out_geometry,false
20,t14_n28_compact_level4,28,compact,4,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,8.3008388703215701,0.065350897425260762,4.6664520215213932,4.6664520215213932,2.6664520215213932,27.998712129128368,2.7998712129128371,-13.999356064564184:-8.0825319923575503:0;-9.3329040430427881:-8.0825319923575503:0;-4.666452021521394:-8.0825319923575503:0;2.2203439189721386e-16:-8.0825319923575503:0;4.666452021521394:-8.0825319923575503:0;9.3329040430427881:-8.0825319923575503:0;13.999356064564184:-8.0825319923575503:0;-11.666130053803485:-4.0412659961787751:0;-6.999678032282092:-4.0412659961787751:0;-2.333226010760697:-4.0412659961787751:0;2.333226010760697:-4.0412659961787751:0;6.999678032282092:-4.0412659961787751:0;11.666130053803485:-4.0412659961787751:0;-9.3329040430427881:2.2203439189721413e-16:0;-4.666452021521394:2.2203439189721413e-16:0;2.2203439189721386e-16:2.2203439189721413e-16:0;4.666452021521394:2.2203439189721413e-16:0;9.3329040430427881:2.2203439189721413e-16:0;-6.999678032282092:4.041265996178776:0;-2.333226010760697:4.041265996178776:0;2.333226010760697:4.041265996178776:0;6.999678032282092:4.041265996178776:0;-4.666452021521394:8.0825319923575503:0;2.2203439189721386e-16:8.0825319923575503:0;4.666452021521394:8.0825319923575503:0;-2.333226010760697:12.123797988536326:0;2.333226010760697:12.123797988536326:0;2.2203439189721386e-16:16.165063984715104:0,b6d8cf071d3cf9405208851df342de083194b149e914b1893847c8d612ffc0c7,0.065350897425260804,0.030110966774897965,pre_registered_analytic_scale_out_geometry,false
