case_id,geometry,particle_count,ka,f0,f1,lmax,system_dimension,condition_number_effective_incident,condition_number_scattered,condition_number_balanced,legacy_residual_relative,balanced_backward_error,effective_incident_closure_error,scattering_closure_error,production_solver,balanced_vs_scattered_b_relative,balanced_vs_scattered_b_absolute,balanced_vs_scattered_b_relative_applicable,balanced_vs_scattered_d_relative,balanced_vs_scattered_d_absolute,balanced_vs_scattered_d_relative_applicable,balanced_vs_legacy_b_relative,balanced_vs_legacy_b_absolute,balanced_vs_legacy_b_relative_applicable,balanced_vs_legacy_d_relative,balanced_vs_legacy_d_absolute,balanced_vs_legacy_d_relative_applicable,total_balanced_vs_scattered_relative,total_balanced_vs_scattered_absolute,total_balanced_vs_scattered_relative_applicable,total_balanced_vs_legacy_relative,total_balanced_vs_legacy_absolute,total_balanced_vs_legacy_relative_applicable,interaction_balanced_vs_scattered_relative,interaction_balanced_vs_scattered_absolute,interaction_balanced_vs_scattered_relative_applicable,interaction_balanced_vs_legacy_relative,interaction_balanced_vs_legacy_absolute,interaction_balanced_vs_legacy_relative_applicable,external_scattered_balanced_vs_scattered_relative,external_scattered_balanced_vs_scattered_absolute,external_scattered_balanced_vs_scattered_relative_applicable,external_scattered_balanced_vs_legacy_relative,external_scattered_balanced_vs_legacy_absolute,external_scattered_balanced_vs_legacy_relative_applicable,scattered_scattered_balanced_vs_scattered_relative,scattered_scattered_balanced_vs_scattered_absolute,scattered_scattered_balanced_vs_scattered_relative_applicable,scattered_scattered_balanced_vs_legacy_relative,scattered_scattered_balanced_vs_legacy_absolute,scattered_scattered_balanced_vs_legacy_relative_applicable
dimer_diagonal,dimer,2,0.050000000000000003,0,0.40000000000000002,4,20,51017.054254981333,51017.054254979063,1.0082531764110885,2.2203724914498718e-14,2.185119799822633e-17,8.9989277851853949e-19,7.5294192209387756e-17,balanced_sqrt,1.918021191942604e-16,3.7715951006659423e-13,true,1.5088491979785794e-16,1.0949690230983435e-20,true,4.3182175005315524e-16,8.4913389054473497e-13,true,4.0517440280790649e-16,2.9403430152025467e-20,true,2.9014509956002149e-16,4.9065389333867974e-18,true,3.5535372264553825e-16,6.0092583949486369e-18,true,2.9014509956002149e-16,4.9065389333867974e-18,true,3.5535372264553825e-16,6.0092583949486369e-18,true,2.9140728504802554e-16,4.9065389333867974e-18,true,3.2580324925302159e-16,5.4856772946510957e-18,true,4.3392916800309435e-16,3.1783493479130066e-20,true,2.3681418026895462e-14,1.7345646500283892e-18,true
dimer_diagonal,dimer,2,0.050000000000000003,0,0.40000000000000002,5,30,189221927.41622517,189221927.4163315,1.0082571576574926,1.2621228088547741e-12,2.8196323875526823e-17,1.6077713654888863e-21,9.0213910069391683e-17,balanced_sqrt,1.7729726810849741e-16,2.1236083534494411e-11,true,1.8085036452298237e-16,1.3124276958407158e-20,true,8.5754027761600404e-16,1.0271335347650629e-10,true,9.4497577502437935e-16,6.8576714363378355e-20,true,1.0257929421903809e-16,1.7347234759768071e-18,true,1.2974403341271684e-13,2.1941077128915118e-15,true,1.0257929421903809e-16,1.7347234759768071e-18,true,1.2974403341271684e-13,2.1941077128915118e-15,true,1.0302778040181839e-16,1.7347234759768071e-18,true,1.3064357246949742e-13,2.1997025585180378e-15,true,1.8410051908286802e-16,1.3552527156068805e-20,true,1.5611989963054899e-13,1.1492738803161932e-17,true
dimer_diagonal,dimer,2,0.050000000000000003,0,0.40000000000000002,6,42,946708140619.39136,946708140249.7196,1.0082575773675551,9.2356715185117078e-11,3.326828641812398e-17,2.1073284580398981e-22,1.1849335099361426e-16,balanced_sqrt,2.2325194528077544e-16,1.8916853862379011e-09,true,2.1800042330005804e-16,1.5820249745340203e-20,true,3.4422072882272805e-15,2.916692714749607e-08,true,4.1252898543585516e-15,2.9937150937565723e-19,true,0,0,true,7.4932082234491477e-13,1.2671835471153164e-14,true,0,0,true,7.4932082234491477e-13,1.2671835471153164e-14,true,0,0,true,7.4917225227573776e-13,1.2614141683973223e-14,true,9.199834397926225e-17,6.7762635780344027e-21,true,7.9676884944281246e-13,5.8687096974394789e-17,true
dimer_diagonal,dimer,2,0.050000000000000003,0,0.40000000000000002,7,56,6153267395396247,6153266220914097,1.0082576191393116,4.7618935945505506e-09,2.1526087944588898e-17,2.6079742898850797e-24,9.7013891694623182e-17,balanced_sqrt,2.2819921613827371e-16,1.5592157714240989e-07,true,2.1571953065693158e-16,1.56547257953192e-20,true,2.3693004672020362e-14,1.6188708787962945e-05,true,8.7149046034591839e-15,6.324389891079872e-19,true,1.0257898848972801e-16,1.7347234759768071e-18,true,3.7502513467896164e-12,6.3420873493415706e-14,true,1.0257898848972801e-16,1.7347234759768071e-18,true,3.7502513467896164e-12,6.3420873493415706e-14,true,1.0302775211870481e-16,1.7347234759768071e-18,true,3.767578869963169e-12,6.3436378829163192e-14,true,2.7597915128724528e-16,2.0328790734103208e-20,true,2.6684593379612636e-12,1.9656032425250595e-16,true
dimer_diagonal,dimer,2,0.050000000000000003,0,0.40000000000000002,8,72,5.0447352540474712e+19,5.0442415692326797e+19,1.0082576231282074,4.7860710031532483e-07,2.1829086352369056e-17,3.1717442099483857e-27,8.4782315980544303e-17,balanced_sqrt,2.633748056269791e-16,1.6297136868925736e-05,true,2.15313372972778e-16,1.5625251008549347e-20,true,7.0269616153986201e-12,0.43481514849614705,true,7.0540380574580759e-12,5.1191021602535335e-16,true,2.5126617359972268e-16,4.2491873609703695e-18,true,8.2999836423436389e-12,1.4036185246956948e-13,true,2.5126617359972268e-16,4.2491873609703695e-18,true,8.2999836423436389e-12,1.4036185246956948e-13,true,2.5236542149384705e-16,4.2491873609703695e-18,true,7.7760865609125292e-12,1.3092938223078193e-13,true,1.3009710720835247e-16,9.5830838542710887e-21,true,7.0693991872201112e-10,5.2073905918560458e-14,true
dimer_diagonal,dimer,2,0.050000000000000003,0,0.40000000000000002,9,90,5.0777423528639819e+23,5.0936775874872836e+23,1.0082576234972889,3.1796437474834474e-05,1.9743690186602902e-17,2.8562960359514459e-28,8.3432971443581118e-17,balanced_sqrt,1.8304094203985168e-16,0.0011383707495207143,true,1.6718636967647394e-16,1.2132683424794634e-20,true,8.5320525377379562e-12,53.062658736864627,true,8.5779039164091561e-12,6.224968749993932e-16,true,2.293735848275066e-16,3.8789596144488642e-18,true,4.5346047454308495e-11,7.6685153995575029e-13,true,2.293735848275066e-16,3.8789596144488642e-18,true,4.5346047454308495e-11,7.6685153995575029e-13,true,2.3037705676782373e-16,3.8789596144488642e-18,true,4.4963600376880899e-11,7.5707187351522089e-13,true,1.8398500243463215e-16,1.3552527156068805e-20,true,1.6306810573401345e-09,1.2011766731008958e-13,true
dimer_rigid,dimer,2,0.10000000000000001,0,1,2,6,1.5636914715231245,1.5636914715231245,1.0582902169562811,8.9798593182321191e-17,2.5066077288803447e-17,1.6015305874600552e-17,1.4282831589951112e-16,balanced_sqrt,1.5027490855037234e-16,1.4453253747869592e-15,true,3.8495563208553953e-16,5.6643915281644105e-19,true,1.3537041415970772e-16,1.3019758020006507e-15,true,2.4770002901387156e-16,3.6447575484763439e-19,true,2.8676349572849866e-16,1.0007415330258426e-16,true,2.3860164954243831e-16,8.3266728193209344e-17,true,2.8676349572849866e-16,1.0007415330258426e-16,true,2.3860164954243831e-16,8.3266728193209344e-17,true,2.9244662936721623e-16,1.0007415386268831e-16,true,1.6222020582775558e-16,5.5511153856586858e-17,true,5.426223627223717e-16,3.6799072464191515e-18,true,5.2437857202851661e-15,3.5561831572761061e-17,true
dimer_rigid,dimer,2,0.10000000000000001,0,1,3,12,142.72147375518446,142.72147375518438,1.064969345296368,1.1888956075245991e-15,2.368676715891164e-17,2.2571749911849606e-18,1.3344303966367253e-16,balanced_sqrt,3.065509747158588e-16,3.4925263110652936e-14,true,2.6891313392057652e-16,3.9570693367141004e-19,true,2.4280811254432761e-16,2.766305742094569e-14,true,3.7071122684452575e-16,5.4550330329175966e-19,true,4.428075655665381e-16,1.5700924729009797e-16,true,1.5655611593084279e-16,5.5511151643296247e-17,true,4.428075655665381e-16,1.5700924729009797e-16,true,1.5655611593084279e-16,5.5511151643296247e-17,true,4.5668290943274336e-16,1.5700924793605021e-16,true,3.2292357785927726e-16,1.1102230246251565e-16,true,3.4158417652961393e-16,3.6799073303202072e-18,true,3.1410037668947454e-15,3.3838226652625113e-17,true
dimer_rigid,dimer,2,0.10000000000000001,0,1,4,20,164424.07855329249,164424.07855328621,1.0669103529060533,3.0484142584944715e-14,1.5778017496002192e-17,5.4364542365542489e-20,4.6696959114970884e-17,balanced_sqrt,2.0203466202363656e-16,7.2779183069588645e-13,true,2.2893796512687393e-16,3.3688603067966078e-19,true,2.3042642122354923e-16,8.3006779759093205e-13,true,9.5061433651419577e-17,1.3988448371067234e-19,true,2.2038227120671185e-16,7.8504658534389085e-17,true,1.1531701751665305e-14,4.1078272919956059e-15,true,2.2038227120671185e-16,7.8504658534389085e-17,true,1.1531701751665305e-14,4.1078272919956059e-15,true,2.2808619785851763e-16,7.8504654503666166e-17,true,1.169289351963359e-14,4.0245599011493176e-15,true,2.0389820075353248e-16,2.453273340202763e-18,true,7.3547363746967287e-15,8.8491112749313948e-17,true
dimer_rigid,dimer,2,0.10000000000000001,0,1,5,30,272579411.98996329,272579411.99140739,1.067399738428332,1.1113410237106952e-12,1.3327187297190709e-17,1.0338525803838389e-21,6.2097680012032261e-17,balanced_sqrt,1.9612934967871028e-16,2.8868535313953966e-11,true,2.4340228523485223e-16,3.5817103224808728e-19,true,2.787652460463316e-15,4.103182090275986e-10,true,5.0159404818577918e-15,7.3810505860637959e-18,true,2.2015905105657272e-16,7.8504659064378986e-17,true,3.5245240695646975e-13,1.2567803100420493e-13,true,2.2015905105657272e-16,7.8504659064378986e-17,true,3.5245240695646975e-13,1.2567803100420493e-13,true,2.2804706099319335e-16,7.8504655160500537e-17,true,3.5758180820066421e-13,1.2309668198401528e-13,true,4.6213133062997347e-19,5.6999083469170084e-21,true,2.1015294437014618e-13,2.5920175550786714e-15,true
