scale_order,case_id,particle_index,position_x,position_y,position_z,model_a_x,model_a_y,model_a_z,model_e_total_x,model_e_total_y,model_e_total_z,model_e_interaction_x,model_e_interaction_y,model_e_interaction_z,model_e_external_scattered_x,model_e_external_scattered_y,model_e_external_scattered_z,model_e_scattered_scattered_x,model_e_scattered_scattered_y,model_e_scattered_scattered_z
2,t14_1_n45_linear_level2,9,-72.435027615727222,0,0,-2.0418175479071801e-05,0,0,-2.1111180684476565e-05,1.8513943663808663e-18,0,-2.1111180684476565e-05,1.8513943663808663e-18,0,-2.0941917622917886e-05,1.8435793382057372e-18,0,-1.692630615586784e-07,7.8150281751290894e-21,0
2,t14_1_n45_linear_level2,10,-66.863102414517428,0,0,-6.2670036572581658e-06,0,0,-6.5368469034625133e-06,1.8346351800599168e-18,0,-6.5368469034625133e-06,1.8346351800599168e-18,0,-6.4703763731036943e-06,1.8228558404669147e-18,0,-6.6470530358818736e-08,1.1779339593002094e-20,0
2,t14_1_n45_linear_level2,11,-61.291177213307648,0,0,5.3592052321636652e-06,0,0,5.4548701004793821e-06,1.7944299768763844e-18,0,5.4548701004793821e-06,1.7944299768763844e-18,0,5.4314524257885505e-06,1.7838604572578608e-18,0,2.3417674690831794e-08,1.0569519618523442e-20,0
2,t14_1_n45_linear_level2,12,-55.719252012097861,0,0,1.2636167907660075e-05,0,0,1.2975565899626135e-05,1.7994595433756737e-18,0,1.2975565899626135e-05,1.7994595433756737e-18,0,1.2891486852344727e-05,1.7896808445671843e-18,0,8.4079047281409233e-08,9.7786988084896121e-21,0
2,t14_1_n45_linear_level2,13,-50.147326810888075,0,0,1.5015304777200003e-05,0,0,1.5452007148066922e-05,1.8467810353716533e-18,0,1.5452007148066922e-05,1.8467810353716533e-18,0,1.5343191698576401e-05,1.835045698620166e-18,0,1.0881544949052083e-07,1.1735336751487516e-20,0
2,t14_1_n45_linear_level2,14,-44.575401609678288,0,0,1.3038437928131446e-05,0,0,1.3436340814223139e-05,1.8333820476866133e-18,0,1.3436340814223139e-05,1.8333820476866133e-18,0,1.3336687958494611e-05,1.8238968971693589e-18,0,9.965285572852907e-08,9.4851505172543682e-21,0
2,t14_1_n45_linear_level2,15,-39.003476408468501,0,0,8.0273534436175092e-06,0,0,8.2869854268817976e-06,1.748782649245068e-18,0,8.2869854268817976e-06,1.748782649245068e-18,0,8.2216287031937061e-06,1.7367036908827482e-18,0,6.5356723688090903e-08,1.2078958362319614e-20,0
2,t14_1_n45_linear_level2,16,-33.431551207258714,0,0,1.7010179305035218e-06,0,0,1.7743569444102795e-06,1.8291900146371128e-18,0,1.7743569444102795e-06,1.8291900146371128e-18,0,1.7556967238141887e-06,1.8156540991094358e-18,0,1.8660220596090824e-08,1.3535915527677079e-20,0
2,t14_1_n45_linear_level2,17,-27.859626006048931,0,0,-4.2149031463632504e-06,0,0,-4.3219983833399872e-06,1.8287749906315466e-18,0,-4.3219983833399872e-06,1.8287749906315466e-18,0,-4.2951474303157697e-06,1.8171302494514216e-18,0,-2.6850953024217762e-08,1.1644741180125035e-20,0
2,t14_1_n45_linear_level2,18,-22.287700804839144,0,0,-8.325022635411868e-06,0,0,-8.5616170158118191e-06,1.8495067285299243e-18,0,-8.5616170158118191e-06,1.8495067285299243e-18,0,-8.5019504199392866e-06,1.8391428683659604e-18,0,-5.9666595872533021e-08,1.0363860163963734e-20,0
2,t14_1_n45_linear_level2,19,-16.715775603629357,0,0,-9.8006130935292082e-06,0,0,-1.0087811574997615e-05,1.8093551317845527e-18,0,-1.0087811574997615e-05,1.8093551317845527e-18,0,-1.0015235889820071e-05,1.7997266374303876e-18,0,-7.2575685177544468e-08,9.6284943541650941e-21,0
2,t14_1_n45_linear_level2,20,-11.143850402419572,0,0,-8.4883548130143159e-06,0,0,-8.7406259528057942e-06,1.8083569069014969e-18,0,-8.7406259528057942e-06,1.8083569069014969e-18,0,-8.676812920871812e-06,1.7958843367114576e-18,0,-6.3813031933982809e-08,1.2472570190039422e-20,0
2,t14_1_n45_linear_level2,21,-5.571925201209786,0,0,-4.8860764746972569e-06,0,0,-5.0322790213052233e-06,1.7674208046918454e-18,0,-5.0322790213052233e-06,1.7674208046918454e-18,0,-4.9952794722237941e-06,1.7565470140859762e-18,0,-3.6999549081429439e-08,1.0873790605869046e-20,0
2,t14_1_n45_linear_level2,22,0,0,0,-1.5415999640028266e-19,0,0,-7.786218144922759e-19,1.830727863286274e-18,0,-7.786218144922759e-19,1.830727863286274e-18,0,-7.6927590328836722e-19,1.8208261228119076e-18,0,-9.3459112039086943e-21,9.9017404743663232e-21,0
2,t14_1_n45_linear_level2,23,5.571925201209786,0,0,4.8860764746977685e-06,0,0,5.0322790213068895e-06,1.8004013498184852e-18,0,5.0322790213068895e-06,1.8004013498184852e-18,0,4.9952794722254492e-06,1.7900650927512665e-18,0,3.6999549081440007e-08,1.033625706721885e-20,0
2,t14_1_n45_linear_level2,24,11.143850402419572,0,0,8.4883548130149122e-06,0,0,8.7406259528033582e-06,1.7963162848167554e-18,0,8.7406259528033582e-06,1.7963162848167554e-18,0,8.6768129208693912e-06,1.7846506155945068e-18,0,6.3813031933967072e-08,1.166566922224861e-20,0
2,t14_1_n45_linear_level2,25,16.715775603629357,0,0,9.8006130935295859e-06,0,0,1.0087811574995045e-05,1.8737429778105974e-18,0,1.0087811574995045e-05,1.8737429778105974e-18,0,1.0015235889817521e-05,1.8629761906191622e-18,0,7.2575685177523756e-08,1.0766787191435162e-20,0
2,t14_1_n45_linear_level2,26,22.287700804839144,0,0,8.3250226354125728e-06,0,0,8.5616170158060322e-06,1.805427481830886e-18,0,8.5616170158060322e-06,1.805427481830886e-18,0,8.5019504199335437e-06,1.7955525651400806e-18,0,5.9666595872489253e-08,9.8749166908054966e-21,0
2,t14_1_n45_linear_level2,27,27.859626006048931,0,0,4.2149031463639093e-06,0,0,4.3219983833441987e-06,1.8765153581317946e-18,0,4.3219983833441987e-06,1.8765153581317946e-18,0,4.2951474303199464e-06,1.863299481420101e-18,0,2.6850953024251981e-08,1.3215876711693725e-20,0
