case_id,split,particle_count,family,f1,distance_ratio,rho_frozen,rho_analytic,rho_absolute_difference,rho_near_field,near_field_relative_difference,spectral_norm,infinity_norm,spectral_norm_to_rho,infinity_norm_to_rho,normalized_commutator
n4_irregular_f0.1_d2.1,calibration,4,irregular,0.10000000000000001,2.1000000000000001,0.0096526293793164769,0.0096526293793164734,3.4694469519536142e-18,0.0093696751343756678,0.02931369617765666,0.0096526361769729129,0.011081430524546312,1.0000007042284722,1.14802196262621,0.0011637710638316577
n4_irregular_f0.1_d2.5,calibration,4,irregular,0.10000000000000001,2.5,0.0057895163166253065,0.0057895163166252987,7.8062556418956319e-18,0.0055534439308449974,0.040775839097713706,0.0057895273026259764,0.0066411552687651778,1.0000018975679619,1.1471001903378861,0.0019180769822256508
n4_irregular_f0.1_d3.0,calibration,4,irregular,0.10000000000000001,3,0.003408578045201502,0.0034085780452015033,1.3010426069826053e-18,0.0032137985710908564,0.057143909139722303,0.0034085958840357135,0.0039056207518723442,1.0000052335120315,1.1458211312985962,0.0032032394333556236
n4_irregular_f0.1_d4.0,calibration,4,irregular,0.10000000000000001,4,0.0014983986327046712,0.001498398632704669,2.1684043449710089e-18,0.001355821272178954,0.095153157119716031,0.0014984350898290021,0.0017127303950967602,1.0000243307245065,1.143040548565647,0.0069906219408005614
n4_irregular_f0.1_d6.0,calibration,4,irregular,0.10000000000000001,6,0.00049100354219197919,0.00049100354219197974,5.4210108624275222e-19,0.00040172482138635705,0.1818290768475051,0.00049108922738060122,0.00055874284134152703,1.0001745103268278,1.1379609174449938,0.019148389516023635
n4_irregular_f0.1_d10.0,calibration,4,irregular,0.10000000000000001,10,0.00013256373132056456,0.00013256373132056458,2.7105054312137611e-20,8.6772561419453084e-05,0.3454275875079259,0.00013273965467488683,0.00015063348473919868,1.0013270851127207,1.1363099336343963,0.053785976659971493
n4_irregular_f0.4_d2.1,calibration,4,irregular,0.40000000000000002,2.1000000000000001,0.038610517517265908,0.038610517517265894,1.3877787807814457e-17,0.037478700537502671,0.02931369617765666,0.038610544707891652,0.04432572209818525,1.0000007042284722,1.14802196262621,0.0011637710638316577
n4_irregular_f0.4_d2.5,calibration,4,irregular,0.40000000000000002,2.5,0.023158065266501226,0.023158065266501195,3.1225022567582528e-17,0.022213775723379989,0.040775839097713706,0.023158109210503906,0.026564621075060711,1.0000018975679619,1.1471001903378861,0.0019180769822256508
n4_irregular_f0.4_d3.0,calibration,4,irregular,0.40000000000000002,3,0.013634312180806008,0.013634312180806013,5.2041704279304213e-18,0.012855194284363426,0.057143909139722303,0.013634383536142854,0.015622483007489377,1.0000052335120315,1.1458211312985962,0.0032032394333556236
n4_irregular_f0.4_d4.0,calibration,4,irregular,0.40000000000000002,4,0.0059935945308186847,0.005993594530818676,8.6736173798840355e-18,0.0054232850887158159,0.095153157119716031,0.0059937403593160084,0.0068509215803870408,1.0000243307245065,1.143040548565647,0.0069906219408005614
n4_irregular_f0.4_d6.0,calibration,4,irregular,0.40000000000000002,6,0.0019640141687679168,0.0019640141687679189,2.1684043449710089e-18,0.0016068992855454282,0.1818290768475051,0.0019643569095224049,0.0022349713653661081,1.0001745103268278,1.1379609174449938,0.019148389516023635
n4_irregular_f0.4_d10.0,calibration,4,irregular,0.40000000000000002,10,0.00053025492528225822,0.00053025492528225833,1.0842021724855044e-19,0.00034709024567781233,0.3454275875079259,0.00053095861869954732,0.00060253393895679473,1.0013270851127207,1.1363099336343963,0.053785976659971493
n4_irregular_f0.8_d2.1,calibration,4,irregular,0.80000000000000004,2.1000000000000001,0.077221035034531815,0.077221035034531788,2.7755575615628914e-17,0.074957401075005342,0.02931369617765666,0.077221089415783303,0.088651444196370499,1.0000007042284722,1.14802196262621,0.0011637710638316577
n4_irregular_f0.8_d2.5,calibration,4,irregular,0.80000000000000004,2.5,0.046316130533002389,0.046316130533002389,0,0.044427551446759979,0.040775839097713706,0.046316218421007811,0.053129242150121422,1.0000018975679619,1.1471001903378861,0.0019180769822256508
n4_irregular_f0.8_d3.0,calibration,4,irregular,0.80000000000000004,3,0.027268624361612016,0.027268624361612027,1.0408340855860843e-17,0.025710388568726851,0.057143909139722303,0.027268767072285708,0.031244966014978753,1.0000052335120315,1.1458211312985962,0.0032032394333556236
n4_irregular_f0.8_d4.0,calibration,4,irregular,0.80000000000000004,4,0.011987189061637366,0.011987189061637352,1.3877787807814457e-17,0.010846570177431632,0.095153157119716031,0.011987480718632017,0.013701843160774082,1.0000243307245065,1.143040548565647,0.0069906219408005614
n4_irregular_f0.8_d6.0,calibration,4,irregular,0.80000000000000004,6,0.0039280283375358396,0.0039280283375358379,1.7347234759768071e-18,0.0032137985710908564,0.1818290768475051,0.0039287138190448097,0.0044699427307322162,1.0001745103268278,1.1379609174449938,0.019148389516023635
n4_irregular_f0.8_d10.0,calibration,4,irregular,0.80000000000000004,10,0.001060509850564518,0.0010605098505645167,1.3010426069826053e-18,0.00069418049135562467,0.3454275875079259,0.0010619172373990946,0.0012050678779135895,1.0013270851127207,1.1363099336343963,0.053785976659971493
n4_irregular_f1.0_d2.1,calibration,4,irregular,1,2.1000000000000001,0.096526293793164838,0.096526293793164783,5.5511151231257827e-17,0.093696751343756685,0.029313696177657077,0.096526361769729119,0.11081430524546311,1.0000007042284715,1.1480219626262091,0.0011637710638316547
n4_irregular_f1.0_d2.5,calibration,4,irregular,1,2.5,0.057895163166252962,0.057895163166252969,6.9388939039072284e-18,0.055534439308449979,0.040775839097713332,0.057895273026259783,0.066411552687651754,1.0000018975679625,1.1471001903378861,0.0019180769822256564
n4_irregular_f1.0_d3.0,calibration,4,irregular,1,3,0.034085780452015012,0.034085780452015053,4.163336342344337e-17,0.032137985710908541,0.057143909139723517,0.034085958840357151,0.039056207518723449,1.0000052335120315,1.1458211312985958,0.0032032394333556358
n4_irregular_f1.0_d4.0,calibration,4,irregular,1,4,0.014983986327046719,0.014983986327046719,0,0.013558212721789543,0.095153157119717557,0.014984350898290017,0.0171273039509676,1.0000243307245043,1.1430405485656445,0.0069906219408005545
n4_irregular_f1.0_d6.0,calibration,4,irregular,1,6,0.0049100354219197935,0.0049100354219197952,1.7347234759768071e-18,0.0040172482138635677,0.18182907684750529,0.0049108922738060126,0.0055874284134152701,1.0001745103268282,1.1379609174449943,0.019148389516023621
n4_irregular_f1.0_d10.0,calibration,4,irregular,1,10,0.0013256373132056454,0.0013256373132056456,2.1684043449710089e-19,0.00086772561419453092,0.34542758750792574,0.0013273965467488682,0.0015063348473919865,1.0013270851127209,1.1363099336343963,0.0537859766599715
n6_linear_f0.1_d2.1,holdout,6,linear,0.10000000000000001,2.1000000000000001,0.011194361890108773,0.011194361890108759,1.3877787807814457e-17,0.010859894883735219,0.029878166317731113,0.011194464808467629,0.012733794606785779,1.0000091937673519,1.1375185769219458,0.0023421305279119641
n6_linear_f0.1_d2.5,holdout,6,linear,0.10000000000000001,2.5,0.0067136843445549229,0.0067136843445549229,0,0.0064367031371694037,0.04125621539090716,0.0067138451021207038,0.0076395443401363235,1.0000239447608095,1.1379063935784099,0.0038103463502601061
n6_linear_f0.1_d3.0,holdout,6,linear,0.10000000000000001,3,0.0039509831111570011,0.0039509831111569941,6.9388939039072284e-18,0.0037249439451211815,0.057210866175942725,0.0039512314041775113,0.0044989576550662196,1.0000628433515233,1.1386932134338479,0.0062415444895673137
n6_linear_f0.1_d4.0,holdout,6,linear,0.10000000000000001,4,0.001732512316638866,0.001732512316638868,1.951563910473908e-18,0.0015714607268479989,0.092958409729123642,0.0017329609298601355,0.0019781842468972318,1.0002589379694211,1.1418009718597417,0.012977107645957837
n6_linear_f0.1_d6.0,holdout,6,linear,0.10000000000000001,6,0.0005597276674328272,0.00055972766743282742,2.1684043449710089e-19,0.00046561799314014769,0.16813475511101794,0.00056048667173067034,0.00064795304831104781,1.0013560242632351,1.1576219758491897,0.031258912488771343
