record_type,candidate,scope,point_count,prefactor,exponent,rmse_log,median_factor,p90_factor,maximum_factor,fraction_within_factor_2,spearman,reference_derived,value,recommendation
stratum_oof,P1_eta,n3_linear,4,0,0,0.17763071175268785,1.0799407353801111,1.3128785545780419,1.3977110255511069,1,1,false,0,not_applicable
stratum_oof,P1_eta,n4_compact,4,0,0,0.64348496625972695,1.7976887800600621,2.4556149495548212,2.6447424019632466,0.5,1,false,0,not_applicable
stratum_oof,P1_eta,n4_irregular,4,0,0,0.31947815450810457,1.1706625055253759,1.6397527255884947,1.7887149151671575,1,1,false,0,not_applicable
stratum_oof,P1_eta,n4_linear,4,0,0,0.32819033226991368,1.1444287099280999,1.6641993653873972,1.8711360273378093,1,1,false,0,not_applicable
global_oof,P2_lambda_max,all,28,0,0,0.6293890920247307,1.3769284227385432,1.8901869285638531,14.554217960790472,0.8928571428571429,0.94690749863163659,false,0,not_applicable
stratum_oof,P2_lambda_max,n2_pair,4,0,0,1.4162528497939568,1.9105507527855665,10.829270974486199,14.554217960790472,0.5,1,false,0,not_applicable
stratum_oof,P2_lambda_max,n3_compact,4,0,0,0.50069071492811767,1.387516649741189,2.1220560861424307,2.4185178320579457,0.75,1,false,0,not_applicable
stratum_oof,P2_lambda_max,n3_irregular,4,0,0,0.20757357738908619,1.1924094721783201,1.3216443512124121,1.357520981390804,1,1,false,0,not_applicable
stratum_oof,P2_lambda_max,n3_linear,4,0,0,0.33674577949310713,1.3205509495519521,1.6283229864940654,1.7017857135643,1,1,false,0,not_applicable
stratum_oof,P2_lambda_max,n4_compact,4,0,0,0.3952551015056025,1.4625502838631226,1.690475304832614,1.784097895187124,1,1,false,0,not_applicable
stratum_oof,P2_lambda_max,n4_irregular,4,0,0,0.31257047038433194,1.2892056258878655,1.5159391172308867,1.5950030597408507,1,1,false,0,not_applicable
stratum_oof,P2_lambda_max,n4_linear,4,0,0,0.32563733399943828,1.4290551036269354,1.493602481107329,1.5072431116529319,1,1,false,0,not_applicable
global_oof,P3_rho_l1,all,28,0,0,0.64584897371040173,1.2531612543101769,1.8200452947201886,18.43960615363461,0.9285714285714286,0.96004378762999454,false,0,not_applicable
stratum_oof,P3_rho_l1,n2_pair,4,0,0,1.4994951904422218,1.6267576224658415,13.450858690766136,18.43960615363461,0.75,1,false,0,not_applicable
stratum_oof,P3_rho_l1,n3_compact,4,0,0,0.38697358762933054,1.1235099242754898,1.8251426233597035,2.119932429189709,0.75,1,false,0,not_applicable
stratum_oof,P3_rho_l1,n3_irregular,4,0,0,0.25656871820059424,1.1852717701723139,1.4531815175952612,1.5638865179333616,1,1,false,0,not_applicable
stratum_oof,P3_rho_l1,n3_linear,4,0,0,0.22067566746355793,1.1924806227667326,1.3702149723950512,1.4173497035036686,1,1,false,0,not_applicable
stratum_oof,P3_rho_l1,n4_compact,4,0,0,0.37662547955447867,1.3592932581209292,1.7234474921230658,1.7999727443397191,1,1,false,0,not_applicable
stratum_oof,P3_rho_l1,n4_irregular,4,0,0,0.36347712395717413,1.3332398801174139,1.6410003556931261,1.7625269056077166,1,1,false,0,not_applicable
stratum_oof,P3_rho_l1,n4_linear,4,0,0,0.36486198124493724,1.2684423641891376,1.6769462248977103,1.8424391128969295,1,1,false,0,not_applicable
global_oof,P4_epsilon_a_d,all,28,0,0,0.5610640793133741,1.2362725339867739,1.3825670676818425,15.37947584862918,0.9642857142857143,0.99452654625068404,true,0,not_applicable
stratum_oof,P4_epsilon_a_d,n2_pair,4,0,0,1.3681284956181672,1.0936646734002888,11.096651216610262,15.37947584862918,0.75,1,true,0,not_applicable
stratum_oof,P4_epsilon_a_d,n3_compact,4,0,0,0.23233701143217941,1.2548293981548977,1.3444739047409013,1.374909091075448,1,1,true,0,not_applicable
stratum_oof,P4_epsilon_a_d,n3_irregular,4,0,0,0.30994839833078353,1.2845017126077987,1.5351067427940019,1.6357611662040585,1,1,true,0,not_applicable
stratum_oof,P4_epsilon_a_d,n3_linear,4,0,0,0.21336793549155042,1.1988419340012915,1.3521525278421975,1.3909185543339611,1,1,true,0,not_applicable
stratum_oof,P4_epsilon_a_d,n4_compact,4,0,0,0.21440019573258765,1.205696982786038,1.3361949238688675,1.3789878591166487,1,1,true,0,not_applicable
stratum_oof,P4_epsilon_a_d,n4_irregular,4,0,0,0.23574149885121451,1.2675083906122868,1.327569962114131,1.3418333122433588,1,1,true,0,not_applicable
stratum_oof,P4_epsilon_a_d,n4_linear,4,0,0,0.18616889249321245,1.150735006025617,1.284756116030622,1.3380434736907738,1,1,true,0,not_applicable
fold_fit,P1_eta,n2_pair,24,6.7045363913646385,1.236015229267037,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P1_eta,n3_compact,24,8.3132416305882018,1.3520145673940749,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P1_eta,n3_irregular,24,8.9602266738602516,1.3486892930195122,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P1_eta,n3_linear,24,8.8980387194164834,1.3455950704347719,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P1_eta,n4_compact,24,9.1424872890759037,1.3764627602061139,0,0,0,0,0,0,false,0,not_applicable
fold_fit,P1_eta,n4_irregular,24,8.8046928670265885,1.3537850856633806,0,0,0,0,0,0,false,0,not_applicable
