case_id,particle_count,family,rho_band,f1,distance_ratio,rho_l1,reference_lmax_d,final_lmax_e,total_confirmed,interaction_confirmed,external_scattered_confirmed,scattered_scattered_confirmed,convergence_status,threshold_metric_applicable,threshold_metric_reason,mechanism_decomposition_applicable,mechanism_decomposition_reason,prediction_metric_applicable,prediction_metric_reason,rms_model_a,rms_model_d,rms_model_e_total,rms_model_e_external,rms_model_e_interaction,rms_model_e_external_scattered,rms_model_e_scattered_scattered,epsilon_a_t08,epsilon_a_e,epsilon_d_e,epsilon_a_e_external_scattered,epsilon_d_e_external_scattered,symmetric_rms_a_e,x_d_minus_a,x_mie_external,x_scattered_scattered,cancellation_ratio,cancellation_ratio_applicable,decomposition_max_abs_error,decomposition_relative_error,predicted_epsilon_a,prediction_factor,epsilon_a_e_over_epsilon_a_t08,ratio_t08_applicable,final_truncation_uncertainty,max_abs_interaction_fz,predicted_safe_1pct,observed_safe_1pct,false_safe_1pct,predicted_safe_5pct,observed_safe_5pct,false_safe_5pct,predicted_safe_10pct,observed_safe_10pct,false_safe_10pct,diagnostics_pass,finite
n3_irregular_f1.0_d3.0,3,irregular,3,1,3,0.028389581530360551,7,11,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.27270950277445394,0.28521654179984535,0.29598979693639632,0,0.29598979693639632,0.28353802983828141,0.012568151077493709,0.044005625065313157,0.079071602542228225,0.036858004246082175,0.038370426335516607,0.0059199482799873679,0.082308480393098113,0.042403935307156068,0.0056709065292978042,0.042461433493920106,1.1449910261022349,true,2.4286128663675299e-17,6.7322455608420214e-16,0.050771954211072626,1.5573874153731877,1.7968521620786011,true,1.8624218128285034e-08,0,false,false,false,false,false,false,true,true,false,true,true
n3_irregular_f1.0_d2.1,3,irregular,4,1,2.1000000000000001,0.080676724779565265,13,13,false,false,false,false,unconfirmed,false,unconfirmed,false,unconfirmed,false,unconfirmed_or_unresolved,1.1254022021739074,1.424602364643107,1.8275354485695501,0,1.8275354485695501,1.4160480311745618,0.42204246145853835,0.21276439862094376,0.39156911298693303,0.22641323719146222,0.20807432084490962,0.0060411019916034965,0.48467425945711257,0.16585432891302404,0.0046808890016500817,0.2309353078698855,1.0252865010779257,true,1.1102230246251565e-16,1.3060343566388447e-16,0.16165426272806013,0,0,false,0.00022097909991042011,0,false,false,false,false,false,false,false,false,false,true,true
n3_linear_f0.1_d3.0,3,linear,1,0.10000000000000001,3,0.0028723477911963041,7,11,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.0020556898837651651,0.0020652094972726728,0.0020657030439915915,0,0.0020657030439915915,0.0020582415269305787,7.4615170610123925e-06,0.0046095146860786621,0.0048473376923904056,0.00023892433152677782,0.0012397199901116067,0.0033853997458136303,0.0048591145770107997,0.0046084133608636267,0.0033731713579845035,0.0036120956895112966,2.3917624774852744,true,7.2844833463869829e-20,4.2047116275597418e-15,0.004003159133609482,1.2108780916784996,1.0515939361317148,true,1.8728635444621585e-09,0,true,true,false,true,true,false,true,true,false,true,true
n3_linear_f0.8_d4.0,3,linear,2,0.80000000000000004,4,0.010030161281933956,7,9,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.042240559173656898,0.042836950794737698,0.043253140359165151,0,0.043253140359165151,0.042808469330041829,0.0004446710291233269,0.013922363987542812,0.023410581916133485,0.0096221814409659795,0.013266303730845651,0.00066532312744680322,0.023687855152870373,0.013788400475167505,0.00065848316351991513,0.010280664604485835,1.0562551726290998,true,3.2526065174565133e-18,2.6227448609697976e-15,0.016017251583736552,1.4615854532686434,1.681509112754153,true,5.1786816909039579e-09,0,false,false,false,true,true,false,true,true,false,true,true
n3_linear_f1.0_d3.0,3,linear,3,1,3,0.028723477911963061,7,11,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.20556898837651649,0.21517451100092908,0.22235250243453056,0,0.22235250243453056,0.2139106006752419,0.008441901759288651,0.044640615562366051,0.075481561368781022,0.032282035754083574,0.038995787363477107,0.0059085913540397527,0.078442024616262984,0.043199525614697448,0.005684264003546935,0.037966299757630495,1.1506133127208447,true,6.9388939039072284e-18,2.3869686940716461e-16,0.051434517022872162,1.4675273675694378,1.6908718757098684,true,2.7118650562767946e-08,0,false,false,false,false,false,false,true,true,false,true,true
n3_linear_f1.0_d2.1,3,linear,4,1,2.1000000000000001,0.081763586247051059,13,13,false,false,false,false,unconfirmed,false,unconfirmed,false,unconfirmed,false,unconfirmed_or_unresolved,0.84822477370031113,1.0807529434341272,1.4117109354365458,0,1.4117109354365458,1.0743142178698879,0.33739671756665779,0.21515386207966297,0.3991512338621836,0.23443750678326786,0.21045001584160261,0.0059933355224560097,0.49867450605614655,0.16471372707891571,0.0045609376555888802,0.23899844443885676,1.0228531807929404,true,0,0,0.16407085651184403,0,0,false,0.00037300645583922048,0,false,false,false,false,false,false,false,false,false,true,true
n4_compact_f0.4_d6.0,4,compact,1,0.40000000000000002,6,0.0025876432840475539,5,7,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.0041678995687100479,0.0041797459336239866,0.0041812489171839662,0,0.0041812489171839662,0.0041699274418339847,1.1321475349981159e-05,0.0028342308604550636,0.0031926701180250575,0.00035945804465318951,0.00048630897113276358,0.0023545953561445693,0.0031977748381099612,0.0028332120733718684,0.002348219870300085,0.0027076779149532364,2.4710068898396829,true,1.1350241493207625e-19,1.1845858668951403e-14,0.0035656252770914915,1.1168160646979524,1.1264679114786165,true,9.8614685021981537e-10,0,true,true,false,true,true,false,true,true,false,true,true
n4_compact_f0.1_d2.1,4,compact,2,0.10000000000000001,2.1000000000000001,0.013024703240875866,9,13,true,true,true,false,unconfirmed,true,applicable,false,unconfirmed,true,applicable,0.016268190330613292,0.01672309162608996,0.017078917702187286,0,0.017078917702187286,0.016670045413555351,0.00040887228863193401,0.02720198547300717,0.04746948171488434,0.020834228626311402,0.024106418007433232,0.003182127655841398,0.048623549051183303,0.026635253088572938,0.0031059469610192538,0.023940175587330689,1.1308607909256099,true,6.5052130349130266e-19,7.1079548983456873e-16,0.02139923438554342,2.2182794421352323,1.7450741513699002,true,4.9725956954274691e-07,0,false,false,false,true,true,false,true,true,false,true,true
n4_compact_f0.4_d2.5,4,compact,3,0.40000000000000002,2.5,0.031187722478002788,9,12,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.1300596310681367,0.13709389442212883,0.14341340611849918,0,0.14341340611849918,0.13680259126367625,0.0066108148548229152,0.051309822247318747,0.093113854637331059,0.044064999691511945,0.049289711059222654,0.0021293687185435692,0.097660633660560617,0.049048854945819113,0.0020312128854388751,0.046096212576950804,1.0436285855279053,true,3.4694469519536142e-18,2.2500223241313059e-16,0.056349801310712197,1.65242560703812,1.8147374237336562,true,8.649304895415966e-08,0,false,false,false,false,false,false,true,true,false,true,true
n4_compact_f1.0_d2.5,4,compact,4,1,2.5,0.077969306195006943,9,13,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.8128726941758545,0.93530254592680595,1.0555605376471013,0,1.0555605376471013,0.92969105394630203,0.12586948370079939,0.13089866191867758,0.22991371391375678,0.11392808600855503,0.12565288143258269,0.0060358674601465861,0.25977684333356249,0.11598562790520174,0.0053161252058666125,0.11924421121442162,1.0462445246555476,true,2.7755575615628914e-17,8.0869958102670469e-17,0.15564991526087471,1.4771207136760296,1.7564252418148747,true,1.0700049767743382e-07,0,false,false,false,false,false,false,false,false,false,true,true
n4_irregular_f0.1_d3.0,4,irregular,1,0.10000000000000001,3,0.003408578045201502,7,10,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.0027019208369016569,0.0027149908327788255,0.0027175016723799679,0,0.0027175016723799679,0.0027057353759783673,1.185715523355678e-05,0.0048333171860392371,0.005814217887209692,0.0010851351932192287,0.0014832333327403993,0.0034208280569707219,0.0058309337590909706,0.0048288514356336597,0.0034060164830657914,0.0043632559104084638,2.1667787608754194,true,1.6093625997831706e-19,7.8971711306665144e-15,0.0048398366577854868,1.2013252302341217,1.202945650660737,true,7.352037245137914e-09,0,true,true,false,true,true,false,true,true,false,true,true
n4_irregular_f0.1_d2.1,4,irregular,2,0.10000000000000001,2.1000000000000001,0.0096526293793164769,9,13,true,true,true,false,unconfirmed,true,applicable,false,unconfirmed,true,applicable,0.011134616854747077,0.011354374859068565,0.011519711835381441,0,0.011519711835381441,0.011317810109126424,0.00020738129338697793,0.019652505123895693,0.034262702514618527,0.014949411077503553,0.016555750209779854,0.0032314061489243889,0.034845125191618767,0.019370442011502689,0.0031747704891941638,0.018002298699003098,1.1834300339385067,true,8.6736173798840355e-19,1.6800380904123198e-15,0.015350127680072396,2.2320793174312499,1.7434267183046368,true,3.5427955277514249e-07,0,false,false,false,true,true,false,true,true,false,true,true
n4_irregular_f0.8_d3.0,4,irregular,3,0.80000000000000004,3,0.027268624361612016,7,11,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.17292293356170604,0.17972735308727361,0.18620539997769231,0,0.18620539997769231,0.17961877236791018,0.0066409921833522024,0.038014114646103991,0.071739929807540015,0.035090823961384653,0.037437752192857332,0.00060548050728864537,0.074393252086410913,0.0366916115543316,0.0005840628973430151,0.035664874295524208,1.0167357138887612,true,1.214306433183765e-17,6.8792361187634203e-16,0.048553850050954431,1.4775332899914868,1.8871919147771743,true,1.1787764857822055e-08,0,false,false,false,false,false,false,true,true,false,true,true
n4_irregular_f0.8_d2.1,4,irregular,4,0.80000000000000004,2.1000000000000001,0.077221035034531815,11,13,false,false,false,false,unconfirmed,false,unconfirmed,false,unconfirmed,false,unconfirmed_or_unresolved,0.71261547870381292,0.84935441772164788,1.0122793279670339,0,1.0122793279670339,0.84900090147907381,0.16989630686426704,0.16428874005152094,0.30476770778704459,0.16752363120926564,0.16396278593070956,0.00042493714963236359,0.35771462611121918,0.13784670227823423,0.0003563957231393485,0.16783540093174748,1.0041697040519937,true,5.5511151231257827e-17,1.7566524587945529e-16,0.15399441145236142,0,0,false,7.2510993233532213e-05,0,false,false,false,false,false,false,false,false,false,true,true
n4_linear_f0.1_d3.0,4,linear,1,0.10000000000000001,3,0.0034000806868721262,7,11,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.001807142825083664,0.0018160874026336309,0.0018167017496453402,0,0.0018167017496453402,0.0018099528319894117,6.7553780779205526e-06,0.0049999181987164364,0.0053580309428356964,0.00037026372917743562,0.0017702761646640739,0.0033893754354681871,0.0053721642789999616,0.0049982273956967489,0.0033767841470393255,0.00371848492975765,2.2570785054282152,true,1.9989977555201488e-19,1.4414892854005419e-14,0.004826459743865091,1.1101368761329222,1.0716237206063077,true,1.8567668609602341e-09,0,true,true,false,true,true,false,true,true,false,true,true
n4_linear_f0.1_d2.1,4,linear,2,0.10000000000000001,2.1000000000000001,0.0096598744644465964,9,13,true,true,true,false,unconfirmed,true,applicable,false,unconfirmed,true,applicable,0.007449661173877623,0.0076041266803804873,0.007727437756267521,0,0.007727437756267521,0.0075801386013768183,0.00014734197170001686,0.02033612921808441,0.035973421980435023,0.015963476086755992,0.017238565532428817,0.0031647045387858822,0.036631820153932286,0.020011614152113697,0.0031043794583717637,0.019067377356810369,1.1726260290232668,true,6.5052130349130266e-19,1.4066794390265976e-15,0.015362903862403037,2.3415769767635668,1.7689414536393071,true,6.790097592747504e-07,0,false,false,false,true,true,false,true,true,false,true,true
n4_linear_f0.8_d3.0,4,linear,3,0.80000000000000004,3,0.027200645494976996,7,11,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.1156571408053545,0.12024085493518062,0.124011087054303,0,0.124011087054303,0.1201727567253479,0.0038425249989353376,0.038653605407747274,0.067803701206462993,0.03043629686686674,0.038114563771707223,0.00056678633831073566,0.070167086960248606,0.037478443830747658,0.00054924344562225474,0.030985334377826565,1.0178356111276445,true,1.3877787807814457e-17,1.0328292647641813e-15,0.048419651168107675,1.4003343595156446,1.7541365285648933,true,1.9663425021108086e-08,0,false,false,false,false,false,false,true,true,false,true,true
n4_linear_f0.8_d2.1,4,linear,4,0.80000000000000004,2.1000000000000001,0.077278995715572771,13,13,false,false,false,false,unconfirmed,false,unconfirmed,false,unconfirmed,false,unconfirmed_or_unresolved,0.47677831512816787,0.57501650790597947,0.70209687548139688,0,0.70209687548139688,0.57481775123894208,0.12729745461123079,0.17092908757059053,0.32101390159418475,0.18102713068914772,0.17064215957541323,0.0003460538361981419,0.38236932813698504,0.13999071989460887,0.00028331971680494366,0.18131038472995417,1.0017772524627437,true,0,0,0.15412258372034648,0,0,false,0.00014104438414503162,0,false,false,false,false,false,false,false,false,false,true,true
