scale_order,case_id,particle_count,family,target_level,particle_index,lambda_i,lambda_i_over_max,is_first_argmax,local_coupling_sha256
2,t14_1_n45_linear_level2,45,linear,2,29,0.011105793314471007,0.99971731309971856,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,30,0.01110459434415868,0.99960938462084403,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,31,0.011103064229180984,0.99947164728043791,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,32,0.011101100399556975,0.99929486797080114,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,33,0.011098552812844331,0.99906554022526006,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,34,0.011095195944903019,0.99876336289279111,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,35,0.01109067920751235,0.99835677684888435,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,36,0.01108443457046898,0.99779464935474604,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,37,0.011075493448653703,0.99698979066305593,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,38,0.011062094930246945,0.99578368764620373,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,39,0.011040762707624474,0.99386341129324896,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
2,t14_1_n45_linear_level2,45,linear,2,40,0.011003838168787026,0.99053955142040939,false,c57df6f020d57a13709f359dd73a8b94f484cfd26b826b8476ad6742921afea2
