model,case_id,is_historical_10pct_false_safe,leave_one_case_out_prefactor,leave_one_case_out_alpha_lambda,leave_one_case_out_alpha_rho,delta_prefactor,delta_alpha_lambda,delta_alpha_rho,held_out_prediction,held_out_observed,held_out_log_residual
M1,n4_compact_f0.4_d6.0,false,4.683040907166637,1.403891744549578,0,0.1866153949995244,0.015531640173118699,0,0.0022719733921582582,0.0031926701180250575,0.34020880468619541
M1,n4_compact_f0.1_d2.1,false,4.4582921638696975,1.3918318362702098,0,-0.038133348297415104,0.003471731893750496,0,0.026871310360353364,0.047469690884079783,0.56903223261995839
M1,n4_compact_f0.4_d2.5,false,4.4876891063458375,1.388040920184898,0,-0.0087364058212751061,-0.00031918419156129474,0,0.09089979388103861,0.093113854637331059,0.024065254144977878
M1,n4_compact_f1.0_d2.5,false,4.7600309074967502,1.4011437936535553,0,0.26360539532963756,0.012783689277096055,0,0.33553289559462113,0.22991371391375678,-0.37801591943002821
M1,n4_irregular_f0.1_d3.0,false,4.5600089409888174,1.3943514743734355,0,0.063583428821704757,0.0059913699969762479,0,0.0048696230973113413,0.005814217887209692,0.17728973638440795
M1,n4_irregular_f0.1_d2.1,false,4.4913266938288654,1.3929506815916926,0,-0.005098818338247213,0.0045905772152332602,0,0.021438868983709614,0.034262829669591564,0.46885550127486664
M1,n4_irregular_f0.8_d3.0,false,4.5763689545945336,1.3912120872870402,0,0.079943442427421019,0.0028519829105808636,0,0.089563419537549913,0.071739929807540015,-0.22189947885340022
M1,n4_irregular_f0.8_d2.1,false,4.7023288936732826,1.3986072572773904,0,0.20590338150616994,0.010247152900931145,0,0.40251538159779837,0.30481333880150036,-0.27803372595119119
M1,n4_linear_f0.1_d3.0,false,4.4941193566963022,1.3881368647846921,0,-0.0023061554708103671,-0.000223239591767177,0,0.0053950805663647945,0.0053580309428356964,-0.0068909859453891902
M1,n4_linear_f0.1_d2.1,false,4.4826078995743028,1.3919601766596206,0,-0.01381761259280978,0.0036000722831612819,0,0.023425663274638801,0.03597361579544673,0.42895363264387865
M1,n4_linear_f0.8_d3.0,false,4.639436754001065,1.3936609965266633,0,0.14301124183395242,0.0053008921502040174,0,0.098355144812110107,0.067803701206462993,-0.37196807120152853
M1,n4_linear_f0.8_d2.1,false,4.7398075545688867,1.4005226758239158,0,0.24338204240177408,0.012162571447456472,0,0.44124862213663246,0.32107255656035255,-0.31794135511938049
M2,n2_pair_f1.0_d6.0,false,9.6001548593509902,0.034766371222472288,1.2660545633883982,4.5604771586239368,-1.2255050762964885,1.1337127404343059,0.0044564116482610867,0.00024653935235086007,-2.8945775328429684
M2,n2_pair_f1.0_d4.0,false,4.7982165427283139,1.3245764471060242,0.069750278099313695,-0.24146115799873957,0.064304999587063261,-0.062591544854778636,0.013929190913914412,0.017338746159560232,0.21895695577047819
M2,n2_pair_f0.8_d2.5,true,4.2951339501110475,1.3940151995877668,-0.011103232272533677,-0.74454375061600597,0.13374375206880584,-0.14344505522662601,0.070991594833953189,0.12057318984999543,0.5296954657814148
M2,n2_pair_f1.0_d2.1,false,3.8328398070384897,1.4513254541126126,-0.084015095434188655,-1.2068378936885638,0.19105400659365168,-0.21635691838828097,0.19333170647181516,0.38790756344523031,0.69635967266074827
M2,n3_compact_f0.4_d6.0,false,4.7661525022087421,1.381108000468561,0.022498429985356016,-0.27352519851831136,0.12083655294960005,-0.10984339296873631,0.0018206213268915294,0.0024442518457082098,0.29456125129499267
M2,n3_compact_f0.1_d2.1,false,4.4214033715805172,1.4131213896330033,-0.017002406522645532,-0.61827432914653624,0.15284994211404235,-0.14934422947673787,0.021139968122700924,0.049539008615673751,0.85159493953884435
M2,n3_compact_f0.4_d2.5,false,4.6730107838669683,1.3234695526043827,0.064559548762079186,-0.36666691686008512,0.063198105085421785,-0.067782274192013145,0.072350486972201436,0.092927521932736554,0.25029767141945086
M2,n3_compact_f0.8_d2.1,false,4.9280960691553881,1.2748783272328683,0.11540661492896502,-0.11158163157166534,0.014606879713907395,-0.01693520802512731,0.39707709069186775,0.41675012779141246,0.048356383329885302
M2,n3_irregular_f0.1_d3.0,false,5.5759560849975012,1.1915564151619102,0.21571011760749295,0.53627838427044772,-0.068715032357050676,0.083368294653400621,0.0037620925319712169,0.0051835772263992899,0.3205200751148552
M2,n3_irregular_f0.8_d4.0,false,5.0745396325738561,1.2536473494864828,0.14056621451916512,0.034861931846802641,-0.0066240980324780985,0.0082243915650727917,0.02128355291839067,0.024302660006384553,0.13265119865114255
M2,n3_irregular_f1.0_d3.0,false,5.0684461636523466,1.2768440102673226,0.11833095003177788,0.028768462925293115,0.016572562748361719,-0.014010872922314455,0.097618086791142783,0.079071602542228225,-0.21070898846960154
M2,n3_irregular_f1.0_d2.1,false,5.1031154928813356,1.268099875475601,0.12810659652198178,0.063437792154282135,0.0078284279566400716,-0.0042352264321105504,0.43178178941661582,0.39171842587690042,-0.097377063184312732
M2,n3_linear_f0.1_d3.0,false,5.0809142262003091,1.2527120142605397,0.14060531607314455,0.041236525473255625,-0.0075594332584212331,0.0082634931190522232,0.0047847777584094165,0.0048473376923904056,0.012990046475631711
M2,n3_linear_f0.8_d4.0,false,4.8061322605051302,1.3147042077622075,0.075243456235310258,-0.23354544022192325,0.054432760243246614,-0.057098366718782073,0.026617802971075785,0.023410581916133485,-0.12839213776168351
M2,n3_linear_f1.0_d3.0,false,4.3512593631329111,1.4903674970621064,-0.09585929945187352,-0.68841833759414239,0.23009604954314544,-0.22820112240596585,0.12641382729673564,0.075481561368781022,-0.51567246275283352
M2,n3_linear_f1.0_d2.1,false,4.747893000857716,1.4076285203820491,-0.0055298439017238332,-0.29178469986933742,0.14735707286308819,-0.13787166685581617,0.55661832109301357,0.39931370979467729,-0.33213241658330001
M2,n4_compact_f0.4_d6.0,false,4.6182289126118219,1.4201107695451021,-0.016608512636574625,-0.42144878811523157,0.15983932202614115,-0.14895033559066695,0.0022648048909137022,0.0031926701180250575,0.34336897993086762
M2,n4_compact_f0.1_d2.1,false,4.5375310978271397,1.3720647501823633,0.020413371237714379,-0.50214660289991375,0.11179330266340237,-0.11192845171637796,0.02691430590384843,0.047469690884079783,0.56743345749605867
M2,n4_compact_f0.4_d2.5,false,5.0249356796381983,1.262653785869607,0.12976082873908698,-0.01474202108885514,0.0023823383506460516,-0.00258099421500535,0.092305064450499116,0.093113854637331059,0.0087239783341167606
M2,n4_compact_f1.0_d2.5,false,6.1544771033631847,1.1218123219075644,0.29018893926961548,1.1147994026361312,-0.13845912561139651,0.15784711631552314,0.35107691629732596,0.22991371391375678,-0.42330125257203788
M2,n4_irregular_f0.1_d3.0,false,5.272784154133678,1.2328349623536621,0.16732945095370816,0.2331064534066245,-0.027436485165298841,0.034987627999615828,0.0048072931451461388,0.005814217887209692,0.19017210771033921
M2,n4_irregular_f0.1_d2.1,false,5.4034869362004772,1.1854149359789339,0.21457395747834349,0.3638092354734237,-0.074856511540027038,0.082232134524251155,0.021129554401409609,0.034262829669591564,0.48338834048796564
M2,n4_irregular_f0.8_d3.0,false,5.1201552645651303,1.2650744226682624,0.13031973594641508,0.080477563838076804,0.0048029751493015027,-0.0020220870076772535,0.089520855687974923,0.071739929807540015,-0.22142412890631122
M2,n4_irregular_f0.8_d2.1,false,5.2766686898838486,1.2692542676890888,0.13365832026307625,0.23699098915679517,0.0089828201701278587,0.0013164973089839216,0.40262302971019293,0.30481333880150036,-0.27830112870213219
M2,n4_linear_f0.1_d3.0,false,5.0642286131197558,1.2563185531687777,0.13686010368789281,0.024550912392702351,-0.0039528943501832003,0.0045182807338004782,0.0052889852791154542,0.0053580309428356964,0.012970137399807628
M2,n4_linear_f0.1_d2.1,false,5.7251796605269769,1.1172093726323507,0.28419334354164699,0.68550195979992345,-0.14306207488661027,0.15185152058755466,0.022578301948507299,0.03597361579544673,0.46579642086479522
M2,n4_linear_f0.8_d3.0,false,4.9201468544535816,1.3271716315004745,0.068626980879478924,-0.11953084627347188,0.066900183981513539,-0.063714842074613406,0.097887638580613667,0.067803701206462993,-0.36720349226693699
M2,n4_linear_f0.8_d2.1,false,5.0959270067589291,1.317939350038579,0.085109325211889186,0.056249306031875612,0.057667902519618064,-0.047232497742203144,0.43884191207043727,0.32107255656035255,-0.31247210855460861
