schema_version,campaign_id,manifest_sha256,case_order,case_id,classification,evidence_role,eligible,include_in_scientific_tables,metric,value,unit,applicable,reason
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,12,p1_dimer_ka005_fluid_f000_f1040_d0300_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.025795373592824463,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,12,p1_dimer_ka005_fluid_f000_f1040_d0300_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,12,p1_dimer_ka005_fluid_f000_f1040_d0300_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,13,p1_dimer_ka005_fluid_f000_f1040_d0400_t000,confirmatory_new,primary,true,true,be_minus_a_rms,9.7661000025913922e-05,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,13,p1_dimer_ka005_fluid_f000_f1040_d0400_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.0081670329735310659,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,13,p1_dimer_ka005_fluid_f000_f1040_d0400_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,13,p1_dimer_ka005_fluid_f000_f1040_d0400_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,14,p1_dimer_ka005_fluid_f000_f1040_d0600_t000,confirmatory_new,primary,true,true,be_minus_a_rms,3.8890319697094076e-06,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,14,p1_dimer_ka005_fluid_f000_f1040_d0600_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.0016432471952311225,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,14,p1_dimer_ka005_fluid_f000_f1040_d0600_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,14,p1_dimer_ka005_fluid_f000_f1040_d0600_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,15,p1_dimer_ka005_fluid_f000_f1040_d0800_t000,confirmatory_new,primary,true,true,be_minus_a_rms,2.4439675447599993e-07,a2e0,true,scientific_magnitude_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,15,p1_dimer_ka005_fluid_f000_f1040_d0800_t000,confirmatory_new,primary,true,true,epsilon_a_e,0.00032286839257113925,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,15,p1_dimer_ka005_fluid_f000_f1040_d0800_t000,confirmatory_new,primary,true,true,epsilon_be_e,0,1,true,scientific_relative_metric_not_a_gate
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,15,p1_dimer_ka005_fluid_f000_f1040_d0800_t000,confirmatory_new,primary,true,true,be_e_identity_error,0,1,true,g1_budget_1e-12
