schema_version,campaign_id,case_order,case_id,series_id,point_order,x_name,x_value,x_unit,y_name,y_value,y_unit,eligible,applicable,reason,annotation
1.0.0,p1_dimer_confirmatory_r2,35,p1_dimer_ka005_fluid_f000_f1080_d0250_t000,ka=0.050000000000000003;material=fluid_f000_f1080,35,distance_ratio,2.5,1,epsilon_a_e,0.11942652643604638,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,36,p1_dimer_ka005_fluid_f000_f1080_d0300_t000,ka=0.050000000000000003;material=fluid_f000_f1080,36,distance_ratio,3,1,epsilon_a_e,0.053232660823291506,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,37,p1_dimer_ka005_fluid_f000_f1080_d0400_t000,ka=0.050000000000000003;material=fluid_f000_f1080,37,distance_ratio,4,1,epsilon_a_e,0.017442413497928966,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,38,p1_dimer_ka005_fluid_f000_f1080_d0600_t000,ka=0.050000000000000003;material=fluid_f000_f1080,38,distance_ratio,6,1,epsilon_a_e,0.0042796326275784382,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,39,p1_dimer_ka005_fluid_f000_f1080_d0800_t000,ka=0.050000000000000003;material=fluid_f000_f1080,39,distance_ratio,8,1,epsilon_a_e,0.0016351233836033551,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,40,p1_dimer_ka005_fluid_f000_f1080_d1000_t000,ka=0.050000000000000003;material=fluid_f000_f1080,40,distance_ratio,10,1,epsilon_a_e,0.00074918725005257197,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,42,p1_dimer_ka005_rigid_boundary_d0225_t000,ka=0.050000000000000003;material=rigid_boundary,42,distance_ratio,2.25,1,epsilon_a_e,0.25630619316073167,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,43,p1_dimer_ka005_rigid_boundary_d0250_t000,ka=0.050000000000000003;material=rigid_boundary,43,distance_ratio,2.5,1,epsilon_a_e,0.14955705310444278,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,44,p1_dimer_ka005_rigid_boundary_d0300_t000,ka=0.050000000000000003;material=rigid_boundary,44,distance_ratio,3,1,epsilon_a_e,0.065844486250422329,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
1.0.0,p1_dimer_confirmatory_r2,45,p1_dimer_ka005_rigid_boundary_d0400_t000,ka=0.050000000000000003;material=rigid_boundary,45,distance_ratio,4,1,epsilon_a_e,0.020671348495306569,1,true,true,scientific_relative_metric_not_a_gate,eligible_primary_only
